#{"t_start": 1705385437.7271936, "env_id": "maze-wide-v0"}
r,l,t
-11,22,1.128785
-1,21,1.349195
-17,19,1.580698
2,20,1.816068
-1,20,2.036481
-27,26,2.303905
-1,33,6.845952
-4,28,7.13383
19,18,7.367466
-12,29,7.736578
