#{"t_start": 1705385437.5679011, "env_id": "maze-wide-v0"}
r,l,t
-4,28,1.323981
-14,23,1.632277
-10,29,1.912528
-23,21,2.18979
-25,26,2.457213
-4,30,6.922465
-12,31,7.287139
-11,20,7.532743
8,38,8.01434
