#{"t_start": 1705046947.7286804, "env_id": "match3-wide-v0"}
r,l,t
100,35,1.315484
-250,23,1.568847
50,29,1.935866
100,28,2.310865
-300,34,6.523605
-200,29,6.915556
100,40,7.443147
100,35,7.927881
0,31,11.970694
-100,38,12.473932
-50,33,12.906776
-300,30,16.936117
150,24,17.256261
200,36,17.738971
-150,49,18.397213
-100,37,22.659153
100,27,22.987276
-100,40,23.518855
-100,30,23.915795
-150,24,27.908124
-100,41,28.46364
150,44,29.054138
50,36,33.251918
0,34,33.693738
50,31,34.097657
-100,28,34.47066
-200,26,34.830698
50,21,38.719305
-150,32,39.109261
-50,32,39.528143
-200,40,40.046788
-100,25,44.641393
-50,28,45.001436
-250,27,45.387019
0,32,45.809754
150,30,50.274731
-150,29,50.690619
-250,29,51.081574
-200,30,51.52838
-200,29,51.935292
-300,43,56.457693
-250,32,56.924935
-200,34,57.38297
-250,33,61.599671
-100,48,62.265126
-150,40,62.809671
-250,49,67.366436
-150,34,67.790186
-200,35,68.260928
-150,35,68.677814
-150,27,72.8218
-250,24,73.126563
-250,25,73.5087
0,57,74.254381
-250,36,78.473051
-200,25,78.819126
-200,38,79.323045
-100,44,83.518581
-150,42,84.05016
-300,26,84.422166
-100,36,84.860407
-150,23,89.046925
-300,33,89.469416
-300,44,90.045874
-200,20,90.321139
100,39,94.61263
-200,28,95.005587
-50,34,95.454387
0,33,95.934105
-250,20,100.068498
100,45,100.642619
-200,35,101.142329
-150,30,101.57899
0,25,105.918802
-150,39,106.456369
-200,34,106.954311
-150,33,107.373191
-200,40,112.335671
-50,47,112.977997
-200,29,113.327692
0,46,117.628522
-450,70,118.536803
-50,65,123.170015
-200,44,123.751612
-100,44,124.321074
-150,34,128.785728
-400,46,129.377413
-500,39,129.91273
-50,50,134.520183
-100,64,135.321127
-200,24,135.604542
-250,45,139.873347
-200,34,140.298211
-250,40,140.832656
-250,65,145.568695
-250,45,146.170304
-150,104,151.333159
-350,87,156.307788
-150,58,157.019942
-200,41,161.428638
-100,55,162.1101
-400,240,172.815809
-100,56,173.545733
-300,90,178.523344
-150,71,183.197339
-250,125,184.753416
-300,40,189.084377
-350,82,190.077222
-150,93,195.018273
-350,82,199.818737
-150,102,204.884543
-150,64,205.633071
50,56,210.158417
-350,66,210.884892
50,74,215.809636
-200,350,227.688551
-200,54,232.272965
-150,193,238.208407
-100,53,242.6132
-250,28,242.865572
-50,1008,284.086304
-50,588,305.553845
-200,184,315.022548
-50,130,320.200322
-500,99,325.144478
-150,1155,371.61111
-600,41,372.028963
-100,151,377.428497
100,342,392.225225
50,626,417.917686
-150,155,423.366032
0,1155,469.27802
-50,669,494.77799
-250,205,504.486372
-400,1085,545.577794
-300,290,559.961884
-400,544,580.785314
-150,418,596.539975
150,124,601.795412
0,115,606.913079
-200,268,617.284333
0,309,628.086449
-150,183,637.598326
-100,123,642.851874
0,573,664.304078
0,142,669.841847
-200,158,679.278772
50,79,680.074478
-150,55,684.646472
-150,405,700.581562
-300,93,705.365582
100,131,710.773428
-300,51,711.302693
0,138,716.538758
-250,88,721.44692
-150,1155,768.247988
-300,284,778.963027
-200,1155,825.08639
-150,1155,870.912194
150,126,876.038293
50,108,880.878636
-350,310,891.728772
-250,45,895.972634
200,870,926.869461
-100,314,941.251127
150,710,967.07044
-250,1155,1012.621675
-150,856,1047.822485
100,311,1062.435463
300,110,1063.514691
-100,1155,1109.099883
-50,1155,1154.969853
-200,206,1164.596816
100,439,1184.104546
-50,1155,1230.374811
-50,320,1241.117923
-100,1155,1286.543584
-50,1155,1331.765072
0,1155,1376.77777
100,855,1411.838507
100,1155,1457.833569
100,68,1458.533282
300,633,1484.031663
150,102,1488.909807
50,366,1504.153679
50,178,1509.753563
50,470,1530.255807
50,197,1540.096719
100,65,1540.806899
150,255,1551.292358
200,267,1561.466801
100,160,1566.940574
200,67,1571.41245
50,230,1581.256166
150,94,1582.209425
50,79,1586.804693
200,312,1601.530883
400,82,1602.360602
250,329,1617.139878
250,62,1617.82425
250,477,1637.836837
200,76,1642.44263
250,91,1643.402186
350,284,1654.212244
200,60,1658.852275
250,104,1663.715707
0,49,1664.22335
100,92,1669.144117
250,993,1709.504682
200,109,1710.621918
200,80,1715.424228
350,224,1726.098141
150,128,1731.484775
150,126,1737.426495
200,1155,1784.487225
250,422,1801.358366
100,189,1811.442148
0,195,1817.658564
300,150,1823.310558
300,284,1838.876644
250,90,1839.934998
150,88,1844.977101
250,174,1851.079108
350,62,1855.741999
200,144,1861.399971
200,52,1862.013092
250,255,1872.684227
300,240,1883.301647
350,384,1899.710178
350,34,1900.092627
250,139,1905.715719
300,49,1910.342195
400,111,1915.555537
200,380,1931.812449
200,109,1936.929412
300,541,1958.840015
350,124,1964.21941
400,38,1964.618837
100,380,1980.767842
150,239,1991.32442
200,94,1996.304158
50,1145,2044.569768
200,218,2050.929148
350,25,2051.192865
250,164,2061.026412
100,55,2061.586029
300,25,2061.876257
300,57,2066.551278
150,1155,2114.677542
200,87,2119.685753
200,138,2125.204999
150,368,2137.390957
400,67,2142.282372
100,125,2147.542738
50,307,2158.723101
250,64,2163.359029
250,147,2169.003707
250,55,2169.614406
400,167,2179.647965
300,23,2179.919812
150,311,2191.183069
50,523,2212.747924
200,144,2222.494771
100,112,2223.654227
250,110,2228.787576
0,1155,2276.665198
200,127,2281.954252
150,72,2286.668137
250,369,2302.737472
0,856,2335.658085
100,579,2361.701886
100,116,2366.970688
100,78,2371.947188
150,51,2372.527501
100,100,2377.611187
-100,96,2378.605799
50,112,2384.272402
-50,768,2417.278696
50,44,2421.914247
-200,45,2422.415859
100,505,2444.303031
50,33,2444.636302
150,402,2461.412253
200,56,2466.069951
250,27,2466.394821
250,24,2466.642663
200,60,2471.414525
0,173,2477.587269
100,43,2478.155213
250,77,2483.167603
300,297,2494.451036
200,31,2498.853861
150,121,2500.173101
150,535,2526.881631
300,27,2527.170972
150,725,2559.646817
-50,278,2570.720322
150,65,2571.380201
50,20,2571.5905
200,64,2576.452285
150,536,2598.306883
50,959,2641.182457
150,187,2647.369535
300,69,2652.272664
100,1155,2702.02582
350,172,2708.249228
50,96,2713.585383
400,50,2714.180511
150,49,2714.77413
100,25,2719.128684
150,67,2719.961839
100,43,2720.454926
200,52,2725.292933
100,37,2725.707756
200,34,2726.125385
300,45,2730.728052
0,724,2759.555902
50,47,2764.131481
250,336,2776.170604
0,114,2781.539639
250,52,2786.155666
100,40,2786.644119
100,63,2791.446418
300,37,2791.888572
150,1155,2842.086705
250,98,2847.355108
450,651,2875.673647
350,66,2876.481057
200,64,2881.368632
400,225,2887.962606
-50,84,2893.004005
200,83,2897.9765
400,73,2898.772398
300,289,2914.32806
200,47,2914.86334
50,33,2915.230768
250,45,2919.851548
150,279,2931.108163
250,117,2936.537892
200,95,2937.628565
200,38,2942.166701
-100,88,2943.201573
250,18,2947.505554
300,126,2953.097643
300,1099,2997.816161
300,266,3008.917132
0,908,3047.117853
100,1155,3097.129286
250,192,3107.412211
50,1155,3156.27197
300,1155,3204.333095
200,129,3209.681911
250,367,3225.576853
0,1155,3273.839053
300,1155,3322.657698
200,1097,3366.91431
100,709,3399.203921
100,51,3399.723267
150,1155,3448.566976
150,154,3458.401236
100,850,3491.535088
300,59,3496.313126
0,1155,3545.246646
50,1155,3593.963193
50,251,3604.827303
250,460,3621.877184
100,47,3626.437642
300,317,3637.932924
100,451,3658.450779
50,774,3690.806922
200,40,3691.238479
150,190,3697.29333
150,237,3707.921143
100,94,3713.024408
-50,1155,3762.379346
150,441,3779.229503
100,40,3783.745463
150,114,3788.974213
300,248,3799.884565
150,26,3800.191647
250,479,3821.498487
100,951,3860.22782
150,127,3865.603469
200,45,3866.139863
300,639,3893.363894
0,103,3898.544479
150,909,3936.590071
300,276,3947.708596
100,1092,3996.0484
-50,1155,4045.107617
150,129,4050.576185
400,90,4055.593326
250,137,4061.030261
400,117,4066.387818
200,297,4077.950269
50,1155,4127.436674
200,184,4133.072104
350,238,4143.710386
150,32,4148.09141
200,74,4148.851091
200,29,4149.190697
-50,236,4159.650862
200,627,4186.165268
50,77,4190.953026
100,79,4191.76043
200,1155,4239.89609
50,71,4244.560499
150,229,4255.096255
