#{"t_start": 1705046947.7346642, "env_id": "match3-wide-v0"}
r,l,t
-50,28,1.181841
-100,27,1.539924
-50,36,2.021637
150,24,2.304881
0,23,6.387968
-150,34,6.862697
50,32,7.284571
150,46,7.849092
-50,34,11.963712
-150,27,12.343282
0,26,12.658439
0,20,12.919742
50,29,16.942101
-150,26,17.323084
-100,47,17.900541
-450,32,18.367293
50,27,22.421788
-100,27,22.820721
-100,30,23.21766
0,31,23.62956
0,25,23.9886
-50,30,28.023816
-50,31,28.449677
-250,46,29.056133
-200,38,33.269871
-150,30,33.679775
-150,32,34.089678
-250,27,34.4557
0,32,38.47396
-100,35,38.944702
0,32,39.364579
150,32,39.776478
-150,25,40.127572
-250,41,44.928631
100,29,45.328176
-200,33,45.764234
-150,31,50.219878
-50,33,50.684635
100,28,51.065617
-150,22,51.37878
-150,36,51.913352
200,29,56.283159
100,34,56.705031
200,29,57.105462
-250,32,57.547531
50,33,61.81832
-250,41,62.369847
-100,24,62.668049
-150,38,63.173697
-300,35,67.519901
-150,37,68.020571
-50,47,68.621964
0,29,72.783901
-200,31,73.213974
-50,32,73.629049
-200,38,74.136695
-50,28,78.277574
-200,47,78.850045
-50,27,79.22604
-150,30,79.63165
-150,25,83.551494
100,44,84.154882
-50,34,84.590716
-400,40,88.953473
-100,38,89.472409
-400,43,90.038893
-300,35,90.540553
-200,38,94.839033
0,30,95.235972
-150,42,95.798469
-150,28,100.054535
-150,33,100.46346
50,39,100.994243
-150,35,101.469283
-250,36,106.023522
-350,29,106.428444
-150,28,106.805732
-200,45,107.393138
0,46,112.469314
100,78,113.522171
-50,47,117.75319
-350,40,118.279782
-200,30,118.681227
-100,38,122.943532
-200,37,123.461907
-250,39,123.985968
-50,19,124.254252
-350,34,128.666049
-250,65,129.507503
-250,31,129.992516
-200,59,134.645847
-200,34,135.086183
-250,50,139.40061
-150,46,139.937177
-250,33,140.405923
0,54,144.987887
-150,74,145.995071
-200,35,146.426331
-150,67,151.146949
