#{"t_start": 1705046947.7775495, "env_id": "match3-wide-v0"}
r,l,t
-250,30,1.15591
-100,30,1.536934
50,34,2.002689
0,34,2.419574
-50,28,6.579456
-100,34,7.028257
-150,33,7.492016
100,30,7.88001
-250,26,11.825464
-200,31,12.238561
-200,44,12.84893
-150,28,13.249859
-300,38,17.345025
-50,28,17.715036
0,37,18.222678
-200,26,18.58713
-100,31,22.751905
-200,27,23.071052
-200,34,23.560744
-100,30,23.960675
-200,29,27.990902
-100,36,28.457656
-50,37,28.989311
-50,28,29.40121
-50,39,33.604975
150,26,33.909161
-50,28,34.287152
-50,29,34.679103
-50,27,38.661458
-100,33,39.060392
-150,23,39.354606
-150,30,39.748554
-50,27,44.320062
-100,34,44.795985
200,34,45.301247
-400,25,45.625277
50,37,50.176992
-300,22,50.493149
-50,38,51.014753
100,37,51.56628
-150,31,55.946061
-300,35,56.400845
50,43,57.021686
-200,29,57.377984
50,32,61.654021
0,37,62.100566
50,28,62.500498
50,48,63.140785
-100,29,67.437208
-200,38,67.947765
-50,34,68.363654
-100,36,72.617369
150,45,73.203003
0,28,73.587161
-150,18,73.828518
-250,33,77.981366
-300,24,78.309489
-250,40,78.823117
-300,35,79.303915
0,42,83.484672
-200,31,83.886597
-100,37,84.389255
-250,39,84.920252
-300,31,89.173205
50,33,89.591091
-250,37,90.110702
-150,50,94.539826
-100,28,94.933779
100,41,95.491289
-250,27,95.86928
-100,33,100.168231
-200,39,100.682513
-350,30,101.092462
-200,36,101.585971
-100,32,106.089346
-150,35,106.54089
0,52,107.211623
-50,43,112.261868
-100,33,112.680782
-350,41,113.236934
-50,29,117.315358
-200,41,117.822004
-300,36,118.303717
-50,41,118.846105
-350,41,123.142092
-400,48,123.811316
-200,22,124.096674
0,64,128.911114
-200,44,129.526553
-300,210,139.824477
-300,26,140.135646
-350,47,140.773815
-200,69,145.590635
50,57,146.290983
-100,56,150.846701
-300,110,156.135617
-200,44,156.655057
-350,43,157.232527
-250,31,161.507452
-350,32,161.892374
-200,52,162.54431
100,38,166.867113
-200,82,167.874045
-300,49,172.365918
-250,111,173.760683
-200,63,178.434577
-250,196,184.610796
-200,43,188.962703
-100,56,189.682278
-150,59,194.220759
-250,32,194.603921
-350,51,195.224725
-200,71,199.879575
-300,34,200.324382
0,54,204.741008
-350,30,205.12751
-200,105,210.226238
-300,251,220.9529
-250,89,221.967488
-150,164,231.926888
-100,141,237.309443
150,522,258.19566
-150,118,263.287877
-300,127,268.400125
50,785,299.634308
0,69,300.331733
-50,111,305.22377
-50,418,320.954696
0,422,340.514105
50,69,341.258847
0,88,346.212548
-150,1155,392.445287
0,179,398.055268
-350,179,407.584827
-200,398,423.308187
-200,93,428.050002
-50,1155,473.924677
-350,412,489.245188
-250,304,499.902833
-250,307,514.371524
-50,267,524.598001
-100,626,549.840219
