#{"t_start": 1705046947.810462, "env_id": "match3-wide-v0"}
r,l,t
-100,24,1.069142
-100,26,1.386295
-100,29,1.750363
-250,26,2.109403
-300,35,6.327129
-200,35,6.811834
0,35,7.253653
-50,27,7.619705
-50,28,11.630984
150,36,12.13326
-250,23,12.409105
250,37,12.952653
150,29,16.903205
-200,38,17.4288
50,32,17.832722
-100,35,18.326401
100,31,22.477638
50,42,23.029165
-200,33,23.512872
-100,36,23.95868
-50,23,27.892166
-100,37,28.416764
-200,26,28.799817
200,30,29.219695
-300,36,33.350654
100,25,33.716676
-200,23,34.006899
100,38,34.521525
-200,29,38.501886
0,40,39.019502
-250,30,39.421427
0,35,39.850313
-150,27,44.451036
0,33,44.911675
-100,27,45.29626
0,27,45.680628
-250,28,46.082109
-200,44,50.724529
-300,33,51.171335
50,39,51.712888
-200,31,56.099649
-100,35,56.596322
-100,23,56.885041
-50,45,57.54354
-150,26,61.661739
-150,36,62.155419
-100,36,62.619179
-200,33,63.081942
-100,39,67.512922
-150,28,67.851024
-100,62,68.679811
-350,41,72.981948
-400,31,73.412956
250,27,73.723799
-150,56,78.243665
-200,28,78.614673
-100,42,79.15822
-150,24,79.446168
150,41,83.674166
150,44,84.215717
-100,36,84.716785
-250,26,88.867702
-150,41,89.414562
200,56,90.202456
-250,40,94.496939
-150,35,94.947742
0,27,95.339694
-200,33,95.762565
-350,48,100.277938
-250,27,100.659576
150,36,101.122207
-250,38,105.72133
-250,41,106.26388
-100,40,106.788754
50,33,107.273458
-200,39,112.229983
0,37,112.68278
100,41,113.236934
-300,25,117.281449
-150,52,117.919743
-450,65,118.805214
-250,73,123.532192
-250,33,123.950065
-50,45,128.564059
0,49,129.23681
150,132,134.886714
0,60,139.314839
-250,68,140.182521
-200,41,140.722449
-500,54,145.309374
-100,44,145.861428
-100,91,150.910245
0,39,151.387578
-250,41,151.9335
-50,23,156.087745
0,40,156.576183
-150,36,156.984367
-100,39,161.378315
-400,34,161.834113
-200,105,166.979549
0,51,167.595528
-250,79,172.463747
-150,41,172.971593
-50,25,173.316574
-300,115,178.588175
-150,54,179.236104
-200,71,183.928449
-100,56,184.599825
-250,37,188.904856
-100,31,189.305464
-200,68,193.969427
-250,38,194.421222
-200,35,194.835761
-350,67,199.485798
-100,130,204.840659
-350,99,206.012705
50,75,210.707367
-150,177,216.75123
-500,108,221.842181
0,135,227.447196
-150,120,232.735497
-250,109,237.819866
-50,343,253.027978
-200,194,258.816744
-200,129,264.031229
-100,472,284.238846
-350,82,288.906627
-100,469,305.287588
150,963,345.913344
-250,337,357.123945
-200,93,361.965031
-150,338,376.85553
-250,413,392.420346
-250,26,392.673938
-300,122,397.700214
-150,357,412.952009
-300,189,418.799671
-250,366,434.071179
-300,270,444.451861
-200,38,448.622851
-150,29,448.921546
-250,1155,494.406233
0,638,519.75478
-100,210,529.363082
-150,90,530.246406
-100,147,535.522502
-50,514,555.935389
0,70,560.465276
-200,123,565.595674
100,845,601.171777
0,250,611.432731
50,531,632.129241
0,933,669.163759
-250,175,674.74599
-350,388,690.707593
100,202,700.624933
0,121,705.736102
-350,54,706.316323
-100,1155,753.324788
-50,269,763.777016
-200,284,778.446662
-50,123,783.487161
50,417,799.173583
150,552,820.062834
-150,1155,866.005076
-200,88,870.630192
-50,1155,916.168756
-100,315,926.695474
100,434,945.962713
200,479,965.8199
50,504,982.223797
-200,138,991.173516
-200,746,1017.413515
450,36,1021.654769
50,33,1021.969697
-50,203,1027.749636
200,717,1057.797272
-250,472,1077.71207
0,1155,1123.401816
-50,31,1123.724019
-250,68,1128.16919
-50,46,1128.600546
-150,1155,1174.450249
0,1155,1220.501639
-150,350,1235.582164
-50,1155,1281.126103
-150,501,1300.92028
0,1155,1346.020121
0,1155,1391.377802
50,364,1406.212696
-50,361,1417.380079
100,245,1427.442196
100,23,1427.666978
50,364,1443.007797
250,190,1452.643869
100,128,1457.704913
200,275,1468.030111
100,1155,1514.334274
-100,52,1514.826665
0,172,1524.458303
150,33,1524.827317
0,564,1546.507791
250,69,1550.999634
150,319,1561.685896
250,1002,1602.376068
250,292,1612.964758
150,51,1617.297883
0,124,1622.419714
200,198,1628.21838
150,455,1648.222175
350,124,1653.426196
250,37,1653.824281
100,39,1658.248662
150,51,1658.779718
150,24,1659.018258
200,56,1663.420495
150,181,1669.266787
200,86,1673.89198
250,193,1679.487889
100,363,1694.136295
150,35,1694.535301
200,110,1699.708838
350,892,1737.716482
100,99,1742.339964
250,171,1748.100165
300,678,1774.718863
400,201,1784.708719
250,77,1789.662092
150,323,1801.377032
200,42,1805.81253
350,195,1811.94015
250,73,1816.795216
350,76,1817.697313
300,169,1827.64619
300,80,1828.587505
200,48,1833.22566
400,41,1833.688519
200,484,1855.463105
200,105,1856.693152
350,125,1862.110979
350,119,1867.380908
450,31,1871.680523
150,168,1877.465258
400,33,1877.833192
350,241,1888.518139
300,30,1888.842687
150,189,1899.00184
150,1155,1947.966344
350,609,1974.599215
200,618,1997.250223
300,330,2012.627573
150,171,2018.460477
300,93,2023.442876
300,205,2033.830746
200,120,2039.140278
400,53,2039.692122
250,79,2044.487986
200,30,2044.815776
350,66,2045.508872
300,57,2050.154926
300,90,2051.111084
300,106,2056.30332
250,41,2060.749573
300,68,2061.476578
250,43,2061.932698
200,75,2066.825448
-50,1155,2114.924247
400,251,2125.758054
350,265,2136.827147
250,327,2152.493095
300,357,2164.072979
100,59,2168.788073
150,165,2174.748643
150,1098,2222.712447
0,1155,2270.669199
150,1111,2318.334676
250,97,2319.297945
150,1155,2367.449355
50,249,2378.271022
100,72,2383.495509
200,390,2400.182496
250,51,2400.703776
150,22,2400.937286
50,1028,2444.880223
250,264,2460.12087
150,53,2460.732052
350,918,2499.60716
250,31,2499.936868
