#{"t_start": 1705046947.592046, "env_id": "match3-wide-v0"}
r,l,t
150,451,2719.802042
250,206,2730.506446
150,29,2730.848442
250,256,2742.202329
150,29,2742.546587
300,289,2753.939225
-50,234,2764.700603
150,437,2781.974053
250,92,2787.047436
100,80,2792.040256
150,147,2797.714522
250,111,2803.046094
200,113,2808.422414
500,80,2809.348007
300,131,2814.852406
300,50,2819.546356
150,99,2824.678182
300,33,2825.020623
150,93,2830.335041
100,53,2831.017286
150,80,2836.263661
150,190,2842.566678
150,75,2847.521544
200,316,2859.745988
200,104,2865.039671
400,41,2865.544286
0,72,2870.51489
300,141,2876.150699
400,19,2876.378523
350,87,2881.529526
300,130,2887.118989
250,67,2887.847174
200,83,2892.845196
150,483,2914.631966
100,125,2920.13005
250,185,2926.272314
50,1155,2976.1443
200,137,2981.750403
150,1155,3030.977364
150,265,3041.833322
400,93,3046.908197
150,40,3047.365625
500,654,3075.172071
300,351,3091.718765
150,1155,3140.785145
250,181,3150.881334
150,167,3156.57209
300,1155,3204.596349
150,1155,3252.795939
100,651,3279.915888
500,318,3295.768681
250,319,3307.178817
450,24,3307.419678
250,313,3322.629301
150,40,3323.053494
200,176,3329.012916
200,568,3355.295409
150,142,3360.992234
100,211,3371.4728
100,1155,3420.531224
250,1155,3469.433803
200,1155,3518.344795
350,315,3529.723835
50,585,3556.314647
100,61,3556.9743
0,1155,3605.665426
300,178,3615.760777
100,1155,3663.792254
250,83,3664.723289
150,125,3670.081536
200,348,3685.867863
0,333,3701.629842
250,436,3718.651364
250,31,3718.976353
350,225,3729.677945
50,798,3762.671257
100,419,3779.286929
100,754,3811.80851
250,670,3843.639081
250,57,3844.219338
100,512,3865.804083
-50,22,3866.047708
200,44,3870.565065
150,253,3877.316393
250,217,3887.926656
200,618,3914.804121
200,353,3930.667837
-50,204,3936.929738
300,41,3941.530444
200,460,3958.590305
100,256,3969.361582
450,61,3974.067313
300,498,3995.768908
100,407,4012.48958
200,68,4013.208143
350,1155,4062.062648
0,1155,4111.627392
0,1025,4154.768418
250,1155,4202.686791
150,144,4212.22243
-100,249,4222.782202
300,189,4228.88068
350,239,4239.455686
0,496,4260.720269
250,152,4266.404803
250,26,4266.672002
200,112,4271.896968
0,95,4276.887974
150,52,4277.445776
50,119,4282.791406
150,76,4287.768567
300,965,4326.388822
-50,75,4331.205169
50,197,4337.36457
200,28,4341.774961
150,60,4342.442779
250,201,4352.767383
50,26,4353.057798
200,52,4353.635774
-100,247,4364.576565
0,989,4407.531749
200,33,4407.862537
200,657,4434.949142
0,87,4440.271692
250,304,4451.567086
250,649,4478.63956
350,1113,4526.587776
250,1037,4569.458142
150,48,4574.098137
0,910,4611.930602
200,767,4644.450587
150,30,4644.785452
50,274,4656.03387
200,49,4656.552635
0,572,4682.759365
150,86,4687.725317
100,38,4688.134089
250,1126,4736.536157
450,27,4736.790477
250,839,4769.893946
350,186,4779.911299
350,48,4780.455734
0,1104,4828.377051
250,40,4828.817062
250,64,4833.516636
50,132,4839.026796
100,244,4849.815974
300,1155,4898.595576
450,142,4904.154732
300,262,4915.079277
250,225,4925.964157
300,261,4937.071367
250,57,4937.776547
450,126,4943.683561
300,164,4949.922775
150,179,4960.188586
0,39,4960.631766
0,67,4965.418182
200,95,4966.48464
200,164,4976.389569
250,172,4982.336657
150,480,5003.794241
400,54,5004.393463
400,97,5009.570833
150,27,5009.894521
200,99,5014.996292
500,136,5020.426221
150,424,5036.967523
0,1104,5085.079041
250,109,5090.265371
350,25,5090.549256
200,59,5091.245347
350,80,5096.155374
250,67,5096.951601
100,170,5106.841908
350,494,5127.977018
200,355,5140.01238
200,53,5144.573467
150,88,5149.621824
200,270,5160.494284
300,172,5166.486339
250,58,5167.140066
200,43,5171.759505
600,70,5172.571845
0,605,5199.939022
150,117,5205.425991
150,76,5210.413528
250,40,5210.861624
250,24,5211.131883
100,15,5211.343544
150,150,5217.116508
350,25,5221.481481
0,57,5222.106224
200,37,5222.525557
200,442,5243.723362
300,276,5254.947497
300,122,5260.325407
250,80,5261.268776
400,110,5266.664346
250,26,5270.953492
300,66,5271.770404
250,120,5277.193001
0,54,5277.843176
200,38,5282.297131
200,149,5288.126031
150,71,5289.033504
300,33,5293.450799
100,22,5293.701564
400,27,5293.975508
350,27,5294.315554
150,39,5298.737554
200,25,5299.07579
150,40,5299.62414
150,53,5300.26134
250,110,5305.610005
250,75,5310.406707
250,95,5315.512468
200,50,5316.155822
150,55,5316.844592
350,127,5322.277606
600,27,5326.542755
250,55,5327.188519
350,23,5327.55676
300,90,5332.648263
400,77,5337.549524
200,27,5337.92897
400,24,5338.239064
150,17,5338.49556
250,75,5343.515506
200,34,5343.909767
250,71,5348.821395
450,53,5349.486347
100,55,5350.213814
450,35,5354.631644
200,78,5355.628441
200,41,5360.069902
350,46,5360.679694
300,19,5360.89756
50,80,5365.845375
400,95,5367.043947
350,17,5371.232073
200,35,5371.69936
300,48,5372.312609
300,159,5378.308493
650,28,5382.720886
300,38,5383.272804
100,65,5388.12798
350,61,5388.90422
350,600,5416.612951
300,22,5416.922722
450,23,5417.207494
250,123,5422.73246
650,19,5422.968743
100,76,5427.90735
350,70,5428.870527
0,15,5429.052032
250,83,5434.048734
450,28,5434.435103
150,19,5434.702529
500,17,5438.891378
400,17,5439.118853
400,39,5439.570891
300,95,5444.849955
300,57,5445.593071
300,198,5456.043625
150,381,5473.126902
150,20,5473.416641
200,36,5473.857074
50,56,5478.605778
400,55,5479.328326
200,451,5501.367849
450,39,5501.971162
750,44,5502.675296
350,196,5513.549834
350,19,5513.814146
250,1147,5564.807918
200,44,5565.381341
400,28,5565.772323
250,48,5570.396098
50,20,5570.660371
550,20,5570.93013
150,42,5571.469835
350,21,5575.629758
400,37,5576.087712
300,35,5576.511085
400,16,5576.746804
300,30,5577.125784
250,35,5581.475271
300,28,5581.859593
450,42,5582.412812
150,41,5586.973808
250,52,5587.647793
100,86,5592.662846
200,130,5598.232336
250,46,5598.866877
200,29,5599.218552
150,156,5609.167996
100,28,5609.565548
550,63,5610.418613
350,20,5610.709634
250,113,5616.08283
200,55,5620.652666
400,26,5621.049114
300,17,5621.295709
100,16,5621.49386
300,105,5626.800847
450,27,5627.119759
300,81,5632.098352
100,21,5632.417907
150,29,5632.814236
450,26,5633.15281
250,19,5637.299262
200,30,5637.732813
150,30,5638.127097
300,20,5638.418554
50,40,5638.945211
300,37,5643.393654
500,29,5643.789897
300,18,5643.986988
400,33,5644.466911
300,45,5648.9829
300,198,5655.736229
450,29,5660.141254
200,15,5660.330079
350,21,5660.684211
400,28,5661.014027
250,18,5661.288196
450,22,5661.577197
550,83,5666.767824
100,64,5667.616616
500,23,5671.869643
50,29,5672.261144
200,34,5672.764557
300,20,5673.073864
250,83,5678.143562
100,27,5678.510826
250,113,5684.019614
250,32,5684.458735
250,29,5688.879333
150,54,5689.563034
250,32,5689.987089
