#{"t_start": 1705046947.7556086, "env_id": "match3-wide-v0"}
r,l,t
-200,27,1.15192
-50,40,1.674565
200,25,2.008671
-150,29,2.382672
-250,35,6.600399
-100,23,6.897605
0,32,7.361365
-100,27,7.682537
-100,30,11.710771
-200,26,12.0804
-150,29,12.454983
-50,28,12.84494
-100,45,17.076742
-100,35,17.549478
-150,27,17.871616
-150,36,18.370285
-150,29,22.507558
-350,27,22.839671
-100,30,23.234615
-50,24,23.59166
-200,34,24.021512
-150,32,28.077671
-50,38,28.632188
-100,23,28.976346
-50,27,29.316437
50,40,33.530174
-200,33,34.012884
50,26,34.318068
100,29,34.709023
-450,32,38.72828
-100,24,39.056403
0,39,39.583994
-400,34,40.004899
100,34,44.676306
0,31,45.117737
-350,35,45.621395
-50,32,46.044591
-350,33,50.538027
-400,40,51.081575
-50,27,51.501452
-50,39,55.992934
-500,25,56.369927
-100,26,56.684087
50,49,57.366016
0,34,61.59005
-150,33,62.073638
-250,28,62.471573
-200,40,63.00016
-350,27,67.220555
-150,32,67.640581
50,50,68.279877
-350,32,68.741645
-250,41,73.04478
-150,44,73.62446
0,25,73.977121
-300,25,78.011286
-250,29,78.431163
0,40,78.93382
-200,34,79.365751
-400,36,83.499632
-200,28,83.877621
200,32,84.279546
-100,27,84.648561
-200,40,89.028971
-300,46,89.622008
-150,38,90.149597
-450,34,94.407349
-100,30,94.810112
-150,38,95.272873
-300,23,95.62593
-150,42,100.049547
-150,32,100.451491
-150,33,100.879686
-300,28,101.291757
-250,53,106.042471
-350,51,106.776008
-100,62,112.037468
-50,51,112.703721
-100,43,113.274833
-150,35,117.459972
-100,29,117.812032
0,47,118.380512
-250,48,122.791936
-250,33,123.212901
-250,39,123.753611
-350,44,124.37094
-200,47,128.949013
-200,44,129.565449
-300,38,130.102783
-100,40,134.560076
-150,35,134.962511
-250,38,135.437421
-400,30,139.506327
-150,31,139.87933
-650,63,140.692316
-150,45,145.206671
-100,45,145.775111
-200,45,146.383446
-150,50,150.842712
-300,52,151.541656
-150,58,156.128635
-100,62,156.879211
-300,42,157.425028
-100,48,161.906612
-300,60,162.684726
-100,52,167.146559
-50,29,167.504502
50,64,168.288951
-150,85,173.257059
-250,38,173.740813
-250,163,183.394813
-150,79,184.359094
-300,180,194.2427
-200,93,195.358135
0,67,200.001342
-150,91,204.895513
-100,65,205.697899
50,103,210.721328
-200,123,216.164911
200,608,242.510406
-250,210,248.53259
-350,289,263.17988
-250,866,295.090893
-300,424,314.763726
-100,73,315.473456
-150,602,340.747713
-200,157,346.45422
-200,114,351.507769
-350,741,382.129455
-200,349,396.958217
-150,124,402.049636
-50,85,402.934631
-150,179,412.483027
-350,165,418.104075
-100,122,423.203921
-300,179,428.85619
-200,410,444.526661
150,1155,489.951477
-200,231,499.874866
-200,81,504.636019
-50,1155,550.188367
0,149,555.523082
-50,1155,601.879187
0,343,616.962066
0,168,622.482666
100,259,632.69986
-100,207,642.721223
-100,1155,690.010428
-200,150,695.398086
50,81,700.204321
-100,194,706.05776
0,272,716.673422
0,257,727.392282
100,937,767.892969
0,1155,814.201419
100,205,820.099735
400,129,825.266557
0,93,830.06047
-150,1010,870.56263
150,142,875.820874
-50,1155,921.18579
-300,296,931.656552
0,1155,976.939785
-100,331,991.636444
50,356,1006.440592
-100,1059,1047.428341
-50,1155,1093.174493
-50,60,1093.765661
50,310,1108.29255
-300,100,1113.058814
0,179,1118.635312
0,251,1128.722862
-50,572,1149.749671
-100,129,1154.858467
0,1155,1200.644885
150,656,1230.371531
-50,406,1245.782467
-150,809,1276.625549
100,1155,1321.762417
-50,813,1352.09336
50,217,1361.771243
0,1105,1406.613361
100,61,1407.232608
150,35,1411.433537
0,85,1412.28691
50,696,1442.198779
200,382,1457.507232
-100,131,1462.769683
150,1155,1508.824841
150,74,1509.555094
150,281,1520.276496
100,38,1524.541082
100,183,1530.435327
50,1155,1576.725705
250,198,1586.325042
200,71,1587.085675
150,81,1591.707339
100,332,1606.577854
150,71,1607.350891
200,35,1607.741379
350,148,1613.010627
300,56,1617.381658
150,136,1622.649613
250,37,1623.047549
50,56,1627.377632
150,219,1633.358527
100,49,1637.628276
300,38,1638.053108
200,188,1647.778043
200,355,1659.387272
150,308,1674.149293
100,215,1679.897793
300,290,1693.79352
50,43,1694.289842
