#{"t_start": 1705046947.7685738, "env_id": "match3-wide-v0"}
r,l,t
-100,22,1.094075
150,28,1.428183
-200,26,1.771307
-150,26,2.12536
100,26,2.42855
-300,28,6.587434
-100,32,7.022272
-50,23,7.346406
-250,29,7.685531
-150,32,11.780584
200,30,12.184161
-150,36,12.633506
-150,25,13.011495
-100,36,17.088709
-50,35,17.560448
-300,31,17.973345
-50,26,18.332385
-200,40,22.620257
-150,25,22.930428
-200,31,23.345319
-50,48,23.985607
-150,33,28.047751
0,30,28.466632
-150,36,28.989311
150,29,29.410186
-50,29,33.468339
0,32,33.884228
50,41,34.420793
-50,37,38.528814
-100,32,38.92675
-150,33,39.355603
-100,28,39.733594
-200,20,39.990936
-100,28,44.610474
-100,41,45.182565
-300,24,45.497721
-50,28,45.88349
-150,27,50.341552
-50,27,50.667681
-100,45,51.321932
-250,27,51.711891
-250,33,56.114609
-250,36,56.622253
-50,28,56.94887
0,29,57.371999
-100,28,61.543822
-350,32,61.966924
-150,25,62.344913
-450,39,62.861531
-400,28,67.075941
-150,42,67.695441
-200,47,68.257937
-150,37,72.53459
-300,40,73.055751
-100,25,73.436893
-150,28,73.757709
-200,45,78.134955
-350,33,78.549846
-250,33,78.949778
150,35,79.443548
0,45,83.655216
-250,32,84.106011
-100,43,84.651553
-200,29,88.88499
-100,46,89.473405
-150,38,89.995011
-250,27,90.373998
50,30,94.548802
-250,33,94.981651
-100,45,95.620943
-150,35,99.940839
100,47,100.580785
-150,32,100.984269
-100,37,101.549069
-350,35,106.020531
-100,49,106.69592
-300,39,107.211623
-200,31,112.063399
-250,52,112.740625
-200,45,113.393515
-300,68,117.934704
-200,36,118.376522
-100,25,118.745373
-300,25,122.804902
-50,32,123.285707
100,51,123.951062
-250,72,128.894891
-400,42,129.443673
0,35,129.958607
-200,74,134.822882
-150,70,139.375676
-250,92,140.534693
-200,34,144.907755
-300,28,145.243572
300,34,145.722253
-350,36,146.163321
0,37,150.498337
-200,71,151.405529
-300,135,156.962096
-200,62,161.637659
-150,167,167.576353
-100,43,168.100926
-300,32,172.366915
-350,22,172.62432
-150,106,177.869308
-50,66,178.638041
-150,57,183.157446
-300,57,183.838048
100,42,184.354108
-350,50,188.822064
0,64,189.600497
-350,44,193.99436
-250,50,194.586966
50,48,195.189817
0,43,199.519709
-150,81,200.479602
-100,105,205.562261
-150,40,206.023676
-400,130,211.370226
0,359,227.376383
-100,101,232.521813
-100,267,243.017192
-50,345,258.274357
-150,158,263.74959
-50,123,268.784169
-450,682,295.049004
-100,91,299.932361
-250,177,305.505973
50,953,345.999115
-350,165,351.650429
100,580,376.74434
50,464,392.80947
-200,127,397.906662
-450,38,402.138271
0,390,417.761237
-350,227,423.969166
0,357,439.033511
-250,245,449.177596
50,1127,494.366252
50,1155,540.037121
-50,598,565.142331
-200,804,596.297629
50,583,617.768094
-150,359,632.861686
-100,103,637.805006
-200,119,643.038375
-150,93,648.140194
-100,126,653.196802
-200,249,663.470043
-200,1155,710.835275
0,221,716.940301
-350,48,721.415006
-200,71,722.183014
-100,107,727.291551
-200,159,732.766376
-150,54,737.26846
-100,1155,783.831586
-350,911,819.823596
0,328,834.650628
-100,940,870.652209
-100,327,881.551634
-200,522,901.984668
-100,62,906.336837
100,458,925.714273
-100,1155,971.04507
-50,66,971.699901
-100,567,996.265513
-50,225,1002.226775
-150,325,1016.822598
0,644,1042.317031
-150,99,1047.08073
-200,127,1052.280083
-100,1155,1097.854445
-100,1155,1143.74633
-150,604,1164.912159
-300,1155,1210.91606
-100,1155,1256.916095
50,254,1266.934387
50,416,1285.987708
250,106,1287.056001
-150,1155,1335.883368
0,195,1341.59582
0,1155,1386.725804
100,691,1412.587058
50,1155,1458.682151
250,113,1463.652486
-50,320,1478.249027
100,316,1489.217374
400,390,1504.699181
350,47,1508.9351
100,226,1518.950969
100,30,1519.306764
150,60,1519.968498
250,64,1524.529114
50,91,1525.546394
250,32,1529.757141
-100,97,1530.830272
250,117,1535.867433
100,1021,1576.928709
150,129,1582.028908
150,134,1587.205293
200,735,1617.676713
150,170,1623.275939
150,203,1632.841121
200,105,1637.703758
250,177,1643.379246
150,459,1663.801478
100,30,1664.102672
150,157,1669.732543
150,51,1674.028615
300,138,1679.033105
350,109,1683.730548
200,156,1688.737099
300,576,1710.461111
150,53,1714.975049
300,161,1720.470199
350,106,1726.079192
300,148,1731.689931
150,1155,1779.409519
250,210,1789.703981
300,106,1790.890595
200,39,1795.476961
300,297,1806.629085
250,45,1807.084298
200,50,1811.753765
150,75,1812.604578
350,89,1817.634401
100,79,1822.50773
150,159,1828.417252
200,133,1834.028249
250,95,1839.225029
550,169,1845.266432
150,445,1866.370379
200,116,1867.614444
200,180,1877.491616
250,156,1883.225147
550,70,1888.006118
300,285,1899.231896
300,27,1899.572432
300,335,1915.430063
200,365,1931.558469
300,208,1937.729426
250,171,1947.700792
250,448,1964.544911
250,133,1970.029781
150,399,1986.300482
450,133,1991.707958
250,112,1996.887595
200,971,2039.343904
400,198,2045.418196
250,90,2050.409055
350,95,2055.437251
350,77,2056.276989
400,103,2061.40109
250,95,2066.503408
150,135,2071.984569
250,222,2082.285001
250,33,2082.613879
350,203,2088.78424
250,321,2104.22953
350,123,2109.47721
200,140,2114.833746
400,534,2136.917935
350,111,2142.287185
400,981,2184.875312
200,525,2206.420439
100,75,2207.180946
200,35,2211.674137
300,136,2217.261394
100,64,2217.870643
0,27,2218.166806
200,192,2228.264707
200,155,2233.809242
300,308,2249.059349
200,45,2249.523525
250,230,2259.93136
350,659,2286.599162
150,50,2287.14228
50,1155,2335.38162
100,692,2366.625021
50,96,2367.707226
0,324,2383.748832
150,69,2388.662407
50,45,2389.231022
200,74,2389.975834
250,694,2422.144071
100,150,2427.966521
50,37,2428.397377
200,144,2434.010624
0,829,2471.767323
200,39,2472.241297
300,50,2476.968075
100,42,2477.486425
0,38,2477.929108
250,46,2482.630729
200,43,2483.118023
200,114,2488.468291
150,1079,2533.188156
50,56,2537.994297
200,66,2538.75438
50,32,2539.079587
250,88,2544.213371
100,22,2544.443064
50,248,2555.230747
200,21,2555.467277
300,46,2559.978011
200,457,2577.092939
150,268,2588.06823
150,206,2598.334507
0,204,2608.681058
150,693,2636.481681
300,419,2653.362067
250,255,2664.538455
150,74,2669.463469
200,666,2697.237055
50,51,2701.949831
0,82,2702.90682
250,96,2708.269055
0,32,2708.642636
350,122,2714.252605
350,19,2714.495776
200,190,2725.027331
100,81,2725.979942
350,32,2730.44732
0,55,2731.104529
200,49,2731.686232
250,49,2736.397485
0,52,2737.047148
450,31,2737.399843
50,24,2741.836587
200,43,2742.320402
0,89,2747.44639
350,294,2758.859572
150,95,2763.965215
150,33,2764.393286
250,215,2774.980161
200,349,2787.140661
250,81,2792.143085
50,28,2792.473793
100,26,2792.744547
200,127,2798.206931
150,91,2803.278213
150,313,2819.101926
0,258,2830.281207
250,38,2830.739004
200,56,2831.446784
100,62,2836.479235
-50,65,2837.218474
150,118,2842.678881
250,56,2847.434675
100,50,2848.027759
250,53,2848.662646
250,58,2853.605009
150,34,2853.993634
100,141,2859.837588
250,107,2865.235057
300,71,2870.148834
0,180,2876.256657
300,34,2876.679242
0,86,2881.824023
350,157,2887.670646
0,232,2898.39294
300,309,2910.045885
400,444,2931.357017
300,257,2942.532502
300,58,2943.19478
450,226,2953.975475
300,303,2969.794084
100,507,2991.55362
400,42,2991.990328
0,161,2997.776268
150,88,3002.768297
150,1155,3052.024896
300,89,3057.265577
350,57,3057.897082
400,63,3058.568991
50,460,3080.079921
0,1155,3129.445044
250,36,3129.798141
200,249,3140.714762
350,296,3155.966829
0,1155,3203.999348
100,165,3209.741511
500,502,3231.154538
300,1155,3279.4546
350,55,3280.06575
350,164,3290.091785
250,265,3301.153039
-50,1155,3349.453064
200,271,3360.619012
200,41,3361.055836
50,860,3399.056212
0,1155,3447.943335
100,1155,3496.631806
150,391,3513.101144
350,224,3523.594635
300,26,3523.893853
200,27,3524.148603
350,605,3550.847801
200,51,3551.409553
200,121,3556.820711
100,1155,3605.510899
150,1155,3653.943311
0,1155,3702.428636
50,156,3708.117693
100,41,3712.661799
350,203,3719.038668
200,177,3729.215433
150,39,3729.65274
100,41,3730.081149
-50,544,3756.338093
250,63,3756.972037
200,494,3778.499712
250,1155,3827.561253
400,46,3828.033978
150,1155,3876.973721
50,38,3881.60348
50,56,3882.212246
200,1155,3930.986384
200,47,3931.45425
300,77,3936.36351
150,261,3947.342576
200,298,3958.643957
50,199,3968.844782
250,1155,4018.046618
100,103,4023.330273
250,24,4023.569053
100,99,4028.746359
250,814,4061.583389
50,51,4066.287019
250,609,4089.104162
200,424,4110.419518
50,1155,4158.958579
150,1155,4206.941484
0,305,4217.997612
400,261,4228.845926
500,118,4234.086598
200,79,4238.96496
0,1155,4287.590044
250,37,4287.982095
150,190,4294.208706
150,207,4304.365702
100,58,4309.089936
150,80,4309.951146
150,145,4315.478107
150,43,4320.021908
350,77,4320.815109
0,24,4321.091607
50,484,4342.475608
400,30,4342.783975
400,276,4358.147136
400,57,4358.722323
150,61,4359.422772
300,229,4370.077694
200,124,4375.501958
-50,166,4385.336862
450,39,4385.739058
250,1155,4434.249994
50,74,4435.027348
300,356,4451.277427
200,35,4455.666378
300,122,4457.009815
250,129,4462.516392
-50,374,4478.479501
250,144,4487.935402
0,324,4499.562149
300,684,4526.820018
50,462,4547.445827
0,1155,4596.013843
100,274,4606.98793
100,83,4611.979433
300,122,4617.33079
50,121,4622.660458
200,1155,4671.695449
100,41,4672.134448
-200,187,4682.072188
-50,686,4709.722574
300,52,4710.296395
-100,1155,4758.88923
250,37,4763.289593
200,83,4764.122491
200,53,4768.756151
150,223,4775.107567
0,149,4784.851272
200,925,4822.750048
50,1155,4871.832598
200,73,4872.586662
350,1155,4921.433732
50,604,4949.512883
200,30,4949.850154
400,131,4955.452704
400,227,4966.149875
300,305,4981.587562
300,633,5004.847681
200,23,5009.173352
250,56,5009.8212
0,438,5030.44982
350,842,5063.594064
150,63,5068.308876
150,31,5068.686255
150,1155,5117.295087
250,57,5117.962017
150,139,5123.539704
200,40,5127.902846
100,145,5133.63913
100,68,5134.438014
250,1155,5183.827095
350,91,5188.722373
200,581,5215.879223
150,18,5216.113018
200,148,5221.894335
250,178,5227.852181
500,55,5232.445046
400,100,5237.680387
500,135,5243.30701
350,122,5248.804815
250,40,5249.282927
50,17,5249.452116
400,27,5249.798461
200,16,5250.021518
300,120,5255.345899
250,69,5260.115998
150,30,5260.470742
50,133,5266.124046
400,74,5271.013468
150,21,5271.280515
100,52,5271.906318
300,25,5272.190465
50,53,5276.802006
350,18,5277.025449
150,97,5282.235557
150,20,5282.502824
200,166,5288.500288
150,482,5310.306401
200,31,5310.675719
150,88,5315.691326
250,22,5315.971315
250,350,5332.100178
50,77,5333.042499
400,76,5338.039598
300,25,5338.432766
350,28,5338.770395
300,664,5371.040204
400,18,5371.315657
200,70,5372.225321
150,22,5372.494124
250,121,5377.975075
400,34,5382.42865
350,40,5382.993246
250,33,5383.484109
150,42,5388.049839
100,87,5389.110284
50,49,5393.752352
50,25,5394.140471
300,152,5400.099425
450,86,5405.092484
350,23,5405.386456
400,29,5405.799595
250,72,5410.733808
250,16,5410.986551
150,31,5411.392044
350,15,5411.580514
500,30,5411.960377
250,29,5416.28907
200,61,5417.062021
400,145,5422.90026
200,30,5423.302485
250,259,5434.615487
100,95,5439.78239
300,36,5440.296286
300,15,5444.435921
100,48,5445.052209
350,22,5445.325318
150,21,5445.597998
450,24,5445.956742
50,61,5450.671191
150,31,5451.09969
350,28,5451.501638
250,36,5455.859118
350,38,5456.399901
500,15,5456.664172
450,17,5456.858138
350,16,5457.092758
500,21,5461.334323
300,110,5462.781683
450,19,5466.968761
250,18,5467.320028
150,18,5467.582529
350,99,5472.763901
450,25,5473.124388
300,51,5473.819341
300,31,5474.211119
400,16,5478.428116
400,91,5479.666393
300,139,5485.525793
450,18,5489.778756
350,63,5490.644092
400,39,5491.211119
400,16,5491.395968
250,143,5501.27809
250,16,5501.458525
300,43,5502.194492
350,15,5502.379231
200,59,5507.491217
150,15,5507.677521
50,44,5508.318271
300,169,5514.590238
350,38,5519.263813
200,27,5519.567804
500,29,5519.961215
150,102,5525.331064
250,23,5525.681685
400,41,5526.225867
300,26,5530.397588
400,32,5530.898109
300,32,5531.320566
500,18,5531.627667
200,79,5536.550431
250,28,5536.901865
450,20,5537.175976
400,18,5537.419853
400,24,5541.699503
350,16,5541.926564
250,38,5542.429796
200,61,5543.194291
100,106,5548.606141
250,111,5554.048389
350,31,5554.485661
400,63,5559.190263
150,66,5560.047726
350,27,5564.26019
300,24,5564.623412
450,33,5565.034305
250,62,5569.84807
200,25,5570.210594
400,19,5570.468882
250,86,5575.462259
200,63,5576.276405
300,44,5576.830191
450,20,5580.989436
450,37,5581.487861
400,67,5582.358521
0,21,5586.617061
200,57,5587.370374
200,54,5588.114232
200,38,5592.486318
200,31,5592.891202
350,28,5593.256531
250,22,5593.539104
400,113,5598.915782
150,109,5604.331053
600,65,5609.098787
200,49,5609.760262
150,20,5610.016309
400,19,5610.273003
500,25,5610.605235
300,34,5614.982574
0,133,5620.608452
350,40,5621.161071
400,42,5621.697586
450,26,5625.969155
250,19,5626.239422
250,211,5632.960326
400,19,5637.099265
300,18,5637.394279
200,40,5637.91589
400,35,5638.401595
200,32,5642.744348
200,16,5642.98758
200,40,5643.507624
350,33,5643.942241
400,57,5648.651744
300,21,5648.940427
300,23,5649.233485
150,21,5649.511264
350,18,5649.776398
350,26,5654.133392
450,21,5654.435721
450,86,5655.652343
450,236,5666.889272
450,32,5667.33836
500,18,5671.542444
600,174,5677.932613
700,64,5678.762295
350,70,5683.701235
450,21,5683.982671
500,101,5689.363568
200,76,5694.25721
500,26,5694.571514
250,16,5694.82189
500,23,5695.148139
300,123,5700.761459
150,17,5700.968747
300,54,5705.648872
300,20,5705.931881
450,32,5706.401352
350,183,5712.974926
300,18,5717.293904
250,35,5717.751595
150,104,5723.227563
250,168,5729.676624
300,22,5729.969985
400,34,5730.455875
100,15,5730.737415
350,32,5735.136715
200,15,5735.327038
350,25,5735.710909
450,36,5736.289635
150,20,5736.562319
500,126,5742.311509
100,21,5746.520251
300,30,5747.029929
450,17,5747.31382
300,19,5747.628586
150,23,5747.932028
250,58,5752.688483
500,34,5753.146403
450,18,5753.418922
550,20,5753.70224
450,22,5757.900424
400,17,5758.189501
250,21,5758.499858
200,37,5759.01791
350,23,5759.349672
250,27,5759.759873
300,57,5764.543822
50,19,5764.785702
200,38,5765.434582
300,25,5769.740611
300,170,5776.170447
500,67,5777.16102
250,17,5781.428767
250,28,5781.863007
300,43,5782.506053
350,24,5782.897137
350,16,5783.10247
300,51,5787.799383
350,27,5788.227441
500,18,5788.524144
550,75,5793.560588
350,57,5794.381435
200,51,5798.983442
400,25,5799.411404
200,44,5800.067413
700,22,5800.39797
400,35,5804.927721
150,37,5805.447101
200,17,5805.737185
550,83,5810.889297
350,55,5811.64769
250,17,5811.910807
350,18,5812.118271
350,17,5816.291106
200,45,5816.945898
350,30,5817.403281
400,71,5822.393828
200,26,5822.746259
500,28,5823.166209
450,34,5823.759491
300,77,5828.827411
100,22,5829.143101
300,35,5829.685959
450,24,5833.892358
150,15,5834.15955
200,31,5834.62918
400,74,5839.582797
150,19,5839.86272
200,35,5840.438165
250,66,5841.384048
250,71,5846.261898
200,43,5846.923533
550,26,5851.176396
300,18,5851.470564
450,38,5852.071566
250,65,5852.996654
400,28,5857.362965
350,18,5857.652801
350,15,5857.917198
400,28,5858.297438
200,46,5862.931525
200,60,5863.786003
400,21,5864.104861
300,40,5864.675814
300,54,5869.387822
350,62,5870.380018
350,20,5874.574846
700,16,5874.778404
250,77,5875.887591
200,73,5880.825382
650,28,5881.251677
250,163,5887.352788
350,20,5887.646784
250,15,5891.784694
250,101,5893.159506
500,37,5897.59362
100,25,5897.913568
450,28,5898.358035
200,19,5898.670739
550,86,5903.719824
250,100,5909.049858
250,82,5910.207273
300,18,5910.41089
350,50,5914.974463
250,20,5915.276546
250,32,5915.762828
300,16,5915.955862
200,33,5920.371823
150,61,5921.172476
300,16,5921.349992
300,47,5925.962972
300,18,5926.260453
400,21,5926.587947
300,32,5926.998404
450,25,5927.363837
350,35,5931.793388
550,59,5932.629567
250,57,5937.42303
250,16,5937.624731
300,80,5938.729578
400,25,5943.158822
600,46,5943.775647
150,20,5944.071578
500,642,5972.903654
200,61,5977.751939
450,47,5978.414351
