#{"t_start": 1705046947.7516198, "env_id": "match3-wide-v0"}
r,l,t
-150,25,1.137958
-150,37,1.637663
-50,27,1.93088
-100,35,2.413589
-100,31,6.596409
0,32,7.03025
50,36,7.518943
0,35,11.550199
50,28,11.965707
-250,40,12.484903
-50,30,12.894807
0,32,16.945093
-150,29,17.345024
0,48,17.990299
-100,38,18.501931
-250,26,22.562411
-150,30,22.972317
-150,42,23.570717
-150,39,24.041458
-300,47,28.343958
-200,37,28.867635
-400,33,29.312446
100,37,33.501251
150,36,33.952046
-50,32,34.415807
0,31,34.816735
-250,29,38.811059
-150,33,39.228941
-50,46,39.846323
-200,27,44.37192
100,34,44.910677
50,32,45.337151
-150,41,45.891468
-200,36,50.468213
100,26,50.799329
-100,26,51.186294
-100,43,51.763751
-200,25,56.097655
-50,35,56.543463
-150,31,56.951863
200,30,57.378981
-200,28,61.551799
-150,32,61.975899
-250,35,62.485536
-250,40,63.013126
-250,31,67.328495
-200,37,67.777221
-50,33,68.231008
0,36,68.65288
-100,34,72.915121
0,31,73.343139
-100,35,73.774663
-300,27,74.145671
-200,45,78.52192
-150,32,78.914869
-350,38,79.427589
-50,30,83.465722
100,57,84.170837
-150,43,84.775627
-150,55,89.343751
-150,37,89.838428
-150,39,90.363027
-50,37,94.598668
-300,29,94.998605
-100,31,95.423469
-250,25,95.783508
50,56,100.359719
0,29,100.754321
-250,39,101.303725
150,45,105.987617
0,41,106.549124
-100,41,107.079974
-50,31,111.92776
-250,40,112.473302
-200,49,113.10667
-350,37,117.326328
-250,56,117.994543
-150,49,118.654297
-350,29,122.795925
-300,52,123.489832
-50,35,123.97799
-450,47,128.544113
0,38,129.089727
-300,40,129.60991
-300,41,134.115435
-300,79,135.101142
-250,52,139.429531
-300,43,140.001004
-50,30,140.387971
-200,52,144.956623
-150,33,145.386168
-150,90,150.407236
-350,50,151.022623
-250,28,151.414506
-250,235,162.134338
-250,32,162.526878
-50,57,167.054348
-300,43,167.609264
-250,45,168.150322
50,124,173.613361
-300,59,178.222795
-350,63,178.956493
-150,128,184.342139
-350,302,199.528683
-400,229,206.055589
-250,44,210.401767
-50,34,210.817073
-50,275,221.783339
-150,74,226.729625
-150,49,227.270816
-50,262,238.032876
0,360,253.379724
-400,49,253.825143
100,565,278.713835
-100,351,294.002307
-100,122,295.297847
100,539,319.943487
-200,383,335.327869
-200,221,341.453009
-300,100,346.553953
200,944,386.853501
-150,183,392.41277
100,959,429.204891
-150,1155,478.784677
-50,1155,524.355162
-50,239,530.423658
-400,207,540.159356
-50,1155,586.198595
0,301,596.939264
-300,141,602.375574
150,957,643.046353
0,209,653.097678
-150,97,654.068219
-150,343,669.34079
-100,55,669.919638
0,166,679.450357
-100,355,694.88395
50,72,695.631092
-250,50,696.13118
-150,170,705.690522
-100,135,711.104847
-150,1155,758.039302
-150,214,767.929651
-50,65,768.622026
-300,353,783.849536
-300,93,788.654116
-100,94,789.599029
-150,1155,835.688308
-50,441,855.586747
0,1155,901.16322
-200,611,925.739206
-150,84,926.56113
-50,706,956.095528
-300,673,981.728204
0,176,987.141838
-100,1155,1032.803999
50,169,1042.157407
50,1155,1087.84848
300,150,1093.171501
50,122,1098.159664
-50,236,1108.168242
-300,267,1118.383246
0,208,1124.267699
200,142,1133.260686
0,909,1169.077533
100,1155,1215.155294
0,306,1225.830548
0,142,1231.051327
150,1155,1276.7543
50,712,1306.040602
50,1155,1351.325412
100,1155,1396.479675
-50,253,1406.57041
150,438,1422.376887
100,500,1442.796062
50,1155,1488.901827
250,880,1524.962954
250,55,1525.549386
300,57,1530.005476
50,39,1530.455273
150,171,1539.985017
50,88,1540.967765
100,112,1546.162521
50,852,1581.241205
250,100,1586.003279
150,1155,1632.228377
250,42,1632.644882
150,61,1633.249817
250,217,1643.132905
50,1155,1689.059237
350,334,1704.267714
300,300,1715.343755
100,56,1715.901086
150,153,1725.796463
250,148,1731.395215
350,105,1737.186153
200,178,1742.603992
200,1155,1790.253646
250,26,1790.546681
350,80,1795.595651
400,268,1806.4137
300,539,1828.661611
250,207,1839.242981
250,137,1844.903246
550,98,1850.15793
300,176,1856.066503
200,50,1856.64463
200,139,1862.268077
250,393,1882.457174
150,83,1883.358058
550,87,1888.31391
150,696,1916.283085
250,234,1926.905587
250,63,1931.668036
100,225,1938.013863
450,61,1942.708252
250,516,1964.37864
350,40,1964.787958
200,265,1975.618405
0,204,1985.89308
400,298,1997.068953
300,578,2023.098109
100,367,2039.227137
150,1155,2087.673497
350,44,2088.142887
450,160,2093.803725
200,408,2110.052306
250,85,2114.880133
100,218,2125.414892
100,183,2131.381567
250,128,2136.926405
450,354,2152.894914
200,545,2174.783616
150,562,2200.791844
0,1155,2249.165475
100,1155,2297.123764
250,547,2318.923496
0,842,2351.694629
150,426,2372.374514
100,83,2373.279927
100,121,2378.560919
250,180,2389.133446
300,190,2395.404644
150,156,2405.203351
150,34,2405.580608
100,50,2406.114109
100,42,2410.711452
250,93,2411.706518
350,76,2416.575382
150,907,2455.224535
300,22,2455.469296
-100,73,2460.375352
100,53,2461.012353
200,28,2461.331464
50,42,2465.810979
350,603,2489.116036
350,544,2515.699185
150,32,2516.099237
100,1155,2565.478133
-100,72,2566.271416
250,69,2571.050066
200,665,2598.474324
100,84,2603.50188
200,84,2604.372436
400,115,2609.767139
200,1131,2658.787986
100,135,2664.445106
-50,241,2675.272861
150,43,2675.715424
250,592,2702.819057
-100,212,2713.708701
250,50,2714.30787
350,115,2719.800798
250,32,2720.187191
300,33,2724.727821
0,205,2731.27113
200,27,2731.591278
250,20,2736.011163
150,44,2736.520139
50,1155,2786.378595
300,48,2786.937636
600,27,2787.282162
300,24,2791.580703
500,50,2792.19494
400,33,2792.602716
350,193,2802.794555
150,83,2803.755456
0,28,2808.166937
200,46,2808.727743
350,41,2809.188433
250,48,2813.824674
250,381,2830.486871
200,37,2830.910573
400,45,2831.479971
150,51,2836.386045
400,78,2837.313842
300,40,2841.827854
250,148,2847.662808
250,71,2848.518201
300,31,2853.139623
150,24,2853.400192
400,41,2853.887882
100,30,2854.257765
400,82,2859.395419
200,362,2875.883681
200,92,2881.093747
