#{"t_start": 1705046947.7566073, "env_id": "match3-wide-v0"}
r,l,t
0,24,1.123994
0,29,1.501028
-150,28,1.856078
150,33,2.274959
-50,28,6.437832
100,36,6.887629
100,42,7.431177
-50,31,7.883
0,49,12.129268
-50,26,12.479916
0,27,12.860896
0,34,16.930132
0,34,17.4288
-250,31,17.822746
-250,32,18.234645
-100,28,18.615556
-50,45,22.951371
-300,25,23.316396
-250,23,23.59864
-50,24,23.89784
-50,54,28.305062
-200,36,28.767901
-100,36,29.28851
-100,36,33.470332
-300,35,33.912151
-350,31,34.31707
-200,26,34.682094
0,32,38.705341
-300,34,39.112252
-150,41,39.655799
-150,32,40.117598
50,22,44.632421
-100,25,44.96553
-150,29,45.367069
-250,38,45.895456
-100,37,50.479183
-50,35,50.937958
0,27,51.332901
-400,28,51.732832
-50,26,56.015872
0,25,56.392864
-50,40,56.922045
-300,27,57.32213
-300,32,61.530853
-50,37,61.993849
-350,25,62.373833
0,40,62.898432
-150,33,67.218559
-100,43,67.845038
0,24,68.124292
-250,41,68.623957
-250,35,72.895174
-100,32,73.329175
-100,38,73.832507
0,50,78.255631
-200,25,78.554831
0,35,79.031558
0,32,79.439555
50,55,83.783871
-50,38,84.278548
150,34,84.705407
-200,43,89.176575
-150,35,89.612033
-100,55,90.367014
-200,37,94.603653
-300,47,95.254166
-100,29,95.656845
-250,34,99.968762
-250,34,100.433539
50,50,101.124048
-200,36,101.616887
50,36,106.16215
-50,25,106.5192
-150,43,107.067008
-100,36,111.953691
-250,32,112.439391
-300,30,112.840361
-100,68,117.384174
-150,47,117.981576
-50,45,118.611408
-300,26,122.657054
-50,42,123.22088
-350,36,123.733658
-150,41,124.278187
-100,54,129.023874
-250,32,129.431919
-100,44,130.013778
-200,61,134.730619
0,51,135.346658
-300,64,139.862374
-250,56,140.564611
-300,32,144.919721
-200,36,145.372203
0,83,146.436304
-300,41,150.826753
-350,52,151.525695
-100,128,156.965086
-300,39,157.44597
0,33,161.766408
-300,65,162.56625
-350,192,172.653241
0,27,173.008493
-100,61,173.781626
-100,46,178.241743
0,120,183.513498
-300,84,184.518043
-150,106,189.688262
-300,133,195.111029
-50,110,200.254567
-400,68,204.886535
50,224,211.327339
100,45,215.912362
100,482,237.101338
-50,295,247.895836
-350,46,248.341928
-50,792,279.413184
-150,350,294.775542
-100,1155,341.029813
-250,85,345.905623
-350,62,346.651691
-50,397,362.287832
100,1007,403.014196
50,285,413.655181
-100,207,423.559572
-350,119,428.557124
-250,217,438.451631
-300,339,449.553664
-50,1155,494.979352
-100,444,514.639154
0,426,530.121663
-100,1155,576.220985
-300,227,586.092865
-350,215,595.990248
-100,302,607.018813
0,1155,653.644325
100,83,658.455048
-100,147,663.740212
-150,115,668.882088
50,341,680.23857
-300,586,705.917969
100,342,721.283357
150,555,742.684306
200,990,783.680279
-100,1155,829.862728
-150,524,850.463974
-100,66,851.101558
-300,98,856.024632
-300,451,875.517684
-150,68,876.203444
150,585,901.062179
200,603,921.777651
-150,87,926.445789
50,80,931.097011
-150,377,945.931357
-300,80,946.705433
150,134,951.820544
-150,261,961.965808
200,93,966.658641
-100,659,992.20465
0,184,1001.541296
0,71,1002.230103
0,148,1007.472103
-250,372,1022.593395
100,790,1057.187792
-50,493,1073.455107
250,129,1078.512509
-150,672,1108.024239
-150,1155,1153.881243
0,94,1154.778969
-50,59,1159.147932
50,499,1179.319344
-150,864,1211.02668
-100,375,1226.30713
150,754,1256.757629
-50,1155,1301.806224
0,1155,1346.885983
50,543,1371.160905
0,497,1387.24757
-50,206,1396.850988
50,1155,1442.847577
0,1155,1488.917783
50,941,1525.653108
200,163,1535.095496
150,240,1545.560935
300,398,1560.919832
100,1155,1606.947046
200,64,1607.64538
0,266,1617.992543
150,178,1627.434511
300,188,1633.060322
100,116,1638.059809
150,46,1638.559879
250,82,1643.244606
250,126,1648.439012
150,161,1654.026738
200,1155,1700.076854
250,514,1720.989145
100,1155,1769.482662
200,618,1796.137024
300,88,1801.028277
250,593,1827.791896
350,283,1839.236996
300,92,1840.283684
250,46,1844.907196
250,173,1850.957834
500,138,1856.513109
300,150,1862.255111
250,1155,1911.076795
300,188,1921.216483
300,66,1921.956849
100,1012,1964.993976
350,177,1974.940645
350,383,1991.066986
150,77,1991.926542
100,118,1997.170675
300,149,2002.676037
400,169,2012.390342
450,608,2039.098698
150,162,2044.791782
200,111,2050.004124
100,486,2067.363003
50,1155,2115.460318
300,464,2136.798815
100,90,2141.937366
200,162,2147.621253
100,658,2174.770649
350,88,2179.798126
450,1011,2222.743591
150,387,2238.717114
300,356,2254.459182
0,1155,2302.485978
150,181,2308.369015
200,143,2313.836646
200,157,2319.514688
200,58,2324.11329
100,100,2329.142974
200,728,2356.723769
100,97,2361.762889
50,182,2367.748114
200,69,2372.638517
100,432,2389.902806
0,171,2400.034421
50,198,2406.236309
-100,1155,2455.773731
200,51,2460.439209
100,38,2460.882288
150,93,2465.93224
200,91,2466.955337
150,41,2471.514847
50,36,2471.9639
100,34,2472.359777
350,26,2472.673421
100,38,2477.276557
350,24,2477.529598
50,60,2478.286752
-50,52,2483.003704
-50,42,2483.50281
200,28,2483.82025
100,32,2488.205364
0,37,2488.615744
0,67,2489.315187
50,76,2494.10888
0,70,2498.945083
200,42,2499.428827
150,67,2500.147169
200,96,2505.422992
100,298,2521.198901
150,77,2522.013626
300,240,2532.808498
