#{"t_start": 1705046947.8124564, "env_id": "match3-wide-v0"}
r,l,t
-50,24,1.067147
50,28,1.436202
-250,34,1.843115
100,24,2.149296
0,38,6.43185
-250,32,6.85073
150,32,7.312496
-50,29,7.701488
-300,30,11.728723
-150,34,12.163762
100,35,12.606579
-300,21,12.948664
100,29,16.902208
-50,23,17.254267
100,40,17.774877
-250,30,18.170818
0,21,18.450071
-50,28,22.58535
0,40,23.113937
50,32,23.533815
0,34,23.964664
-50,28,27.985915
0,37,28.537442
-200,29,28.929472
-150,26,29.25959
-50,31,33.34866
-100,26,33.722659
-150,47,34.353973
-50,40,38.484931
-150,34,38.899822
100,40,39.435391
-200,30,39.826377
-100,23,44.321058
-100,34,44.860813
-250,23,45.154639
0,23,45.462816
-250,31,45.873167
150,24,50.30565
-300,29,50.705581
-150,38,51.243142
0,32,51.67798
-200,20,55.911154
-400,39,56.451709
-250,40,56.995754
-250,34,57.453782
100,38,61.765461
-200,36,62.213264
0,44,62.833606
-300,36,67.182543
-100,29,67.575755
-300,27,67.942778
0,38,68.43646
-100,27,72.574484
100,40,73.119612
100,36,73.568213
-200,21,73.829517
-350,40,78.127974
-350,39,78.637612
-50,27,78.999644
-100,29,79.381712
-300,35,83.457744
-100,31,83.85967
-200,25,84.206742
0,45,84.776631
-250,37,89.146278
-100,35,89.635971
-50,30,90.042884
150,47,94.406183
-150,53,95.149204
-200,52,95.850329
-200,61,100.528924
-200,36,100.964802
-350,28,101.382515
-400,53,106.198056
-300,43,106.744894
-100,62,112.003559
200,22,112.285804
0,36,112.800468
0,46,113.387532
-450,50,117.691355
-150,36,118.186032
150,56,122.702266
-200,37,123.157051
-200,60,123.964028
-200,41,128.483276
-250,39,129.036827
-150,57,129.812835
-100,29,134.182088
-100,43,134.67477
-150,63,135.481869
-50,37,139.596087
-100,38,140.090765
0,54,140.790769
-150,50,145.341288
-200,67,146.231143
-50,57,150.795837
0,43,151.361647
-300,189,161.488456
-200,57,162.213229
0,64,166.840186
-200,70,167.710637
-250,40,168.208167
-450,57,172.80975
0,44,173.345496
-200,97,178.430593
-500,31,178.790936
-250,64,183.371876
-100,41,183.903516
-250,95,188.894879
100,43,189.430951
-300,49,190.026358
-400,66,194.665217
-300,56,195.315687
-350,93,200.289475
-100,30,200.636545
-250,50,205.052094
-50,42,205.549295
-200,96,210.516514
-250,242,221.141408
0,1155,268.482903
-50,242,278.481455
-300,154,284.101837
-50,190,289.857801
-200,52,294.267752
-150,181,300.089381
-50,1055,341.402145
50,338,356.650778
-150,468,376.739353
-100,630,402.15633
-200,1155,448.570322
-50,88,449.488839
-150,62,453.959964
-150,275,464.199943
-200,560,484.726609
-100,910,520.351618
150,936,560.184323
200,146,565.511081
-50,1155,611.932942
-200,123,617.040475
-200,87,621.730651
-150,488,638.260015
150,64,642.878802
-150,58,643.513365
100,33,647.930388
-50,486,664.394567
0,1155,711.741995
-100,298,726.736739
400,1155,773.311746
-150,723,799.847661
-200,1155,846.054527
-50,1155,891.857428
-150,85,896.502247
-200,278,906.661923
-150,69,911.141786
-450,84,915.687357
0,1155,960.889449
-300,512,981.080639
-150,744,1007.304927
250,524,1027.674836
50,78,1032.325998
150,131,1037.442592
-50,1155,1083.175423
-100,1155,1128.864622
-50,365,1144.053926
-100,1155,1189.786594
-50,430,1205.680139
100,1017,1246.433791
-100,386,1261.686012
50,1155,1306.702828
-150,320,1321.369114
150,1070,1361.798697
0,140,1366.849887
50,209,1376.445932
0,178,1382.044272
-50,1124,1427.22338
150,985,1467.847816
