#{"t_start": 1705046947.5351973, "env_id": "match3-wide-v0"}
r,l,t
100,25,1.354381
-100,28,1.722438
-150,34,2.129349
-250,34,2.603083
-50,30,6.778923
0,41,7.337429
-50,33,7.751323
-50,29,8.130341
-100,26,12.074799
-200,23,12.424512
0,26,12.724263
-100,34,13.244872
100,19,13.491214
200,51,17.78485
-150,27,18.107986
0,31,18.56676
-100,22,22.567401
-250,25,22.908487
-100,37,23.417127
-200,34,23.853961
0,33,27.977937
-100,28,28.297085
-100,30,28.715964
-150,21,29.059125
-150,42,29.644561
-250,34,33.742607
-200,36,34.25025
0,26,34.554436
-100,25,34.912479
-200,27,38.895832
-250,32,39.285791
-250,38,39.804405
-200,41,40.33801
-200,30,44.978497
-50,43,45.562549
50,42,46.125843
-150,24,50.557974
50,33,50.990817
-100,33,51.437624
-100,34,51.937289
300,28,56.237282
-250,34,56.736946
-200,22,57.02467
-100,32,57.461759
-100,41,61.793154
-250,26,62.169383
0,21,62.449633
0,28,62.844578
-250,54,67.43199
-50,40,67.968709
-50,40,68.475356
0,24,68.805474
-150,33,73.000323
-100,35,73.462796
-50,50,74.114754
-50,29,78.240672
-250,46,78.890935
-100,34,79.308818
-100,46,83.584405
0,56,84.269574
-50,34,84.757271
-200,22,85.03095
-50,38,89.406976
-50,32,89.816489
-200,44,90.393944
50,49,94.815091
-100,43,95.435439
-250,20,95.716688
-200,44,100.159256
-200,40,100.669909
-250,39,101.201688
-350,34,101.667753
-100,35,106.212018
-100,33,106.649852
-200,30,107.047063
-200,38,107.574653
-250,58,112.793479
-200,33,113.209423
-150,54,117.606581
-100,47,118.202986
-100,35,118.696669
-250,34,119.123085
-50,38,123.39342
-150,66,124.248267
-250,27,128.60196
-150,32,129.030075
-300,68,129.959253
-250,34,134.425607
50,54,135.056258
-150,31,135.422855
-100,34,135.828942
-300,44,140.091763
-50,25,140.393955
-200,37,140.895773
-250,207,151.344421
-300,38,151.857277
100,96,156.873694
-150,46,157.473881
-150,67,162.164647
-200,33,162.611816
-200,53,167.109466
-50,44,167.635152
-150,38,168.116397
-250,46,172.584678
0,51,173.214942
-300,41,173.739216
-300,105,178.926655
50,115,184.087381
-250,57,184.826221
-250,36,189.076385
-150,41,189.596685
-400,189,199.563589
-100,51,200.130965
-250,72,201.023511
-250,49,205.454638
-200,47,205.968008
-50,132,211.325346
250,78,216.276613
-200,193,222.31911
200,1155,269.51061
100,475,289.815846
-100,114,294.865662
-150,305,305.673798
-100,616,331.044158
-250,85,335.79039
50,590,357.46304
-300,45,361.770229
-250,64,362.417155
-150,112,367.334053
-350,371,382.661275
-250,418,398.236783
-50,35,402.417632
-250,92,403.368661
-50,535,428.145746
-350,94,429.098543
-200,34,433.365367
-200,272,443.734809
-150,1155,489.189673
-100,342,500.208019
200,673,529.646326
50,401,545.10551
-350,553,565.990221
-150,687,592.005542
-200,68,596.619624
-100,980,637.472991
-300,1155,684.760557
50,101,685.809337
250,192,695.563282
-300,72,696.330648
-250,458,716.68058
-100,65,721.397051
-150,289,732.284731
250,1155,778.962359
-150,93,783.734797
-50,770,814.487668
-50,122,819.563295
100,247,825.862105
100,151,835.054256
100,284,845.635118
200,239,855.775244
0,813,886.485504
200,182,895.982703
150,760,921.999061
450,749,951.950199
-250,79,956.53675
-50,1155,1002.048596
-150,380,1017.163687
-50,1155,1063.057281
0,280,1073.382865
100,1052,1114.239768
-250,42,1118.465303
