#{"t_start": 1705046947.6439075, "env_id": "match3-wide-v0"}
r,l,t
-100,20,1.16688
-250,41,1.735401
0,22,1.985734
250,30,2.37968
0,27,6.494681
-250,29,6.868681
150,31,7.294543
100,36,7.778281
-100,37,11.912232
-300,32,12.333309
-50,26,12.697335
100,40,13.254845
-200,31,17.286182
-300,43,17.823744
50,28,18.21071
-150,21,18.480989
-50,23,22.503569
0,41,23.072049
-200,37,23.574706
50,26,23.944716
-200,33,28.008854
-250,31,28.434717
-200,27,28.823754
-300,28,29.163845
-400,36,33.361625
-350,24,33.659827
-250,29,34.05178
200,43,34.666138
-50,33,38.677415
-200,43,39.216974
-100,34,39.705667
50,39,40.21733
-250,35,44.903696
0,28,45.306234
-100,25,45.631365
0,32,46.109023
-300,22,50.466218
-100,36,50.922001
-250,33,51.419671
-400,25,51.739815
-50,34,56.206363
-350,35,56.651175
-150,26,57.017686
50,31,57.451786
0,28,61.627596
-50,45,62.208277
-300,30,62.625163
-200,25,62.977222
50,63,67.703412
-250,43,68.250955
50,54,72.743032
-100,25,73.048764
-350,52,73.743742
-50,45,78.093066
350,42,78.659553
50,38,79.160215
250,36,79.601752
-150,34,83.724032
-100,34,84.134933
-200,30,84.538854
-250,25,84.891317
-100,37,89.187547
-300,29,89.581116
-150,41,90.12965
-250,35,90.629314
0,37,94.921813
-150,30,95.316755
-100,26,95.648868
-100,30,96.050794
-200,45,100.531279
-300,36,100.982408
0,31,101.421411
-300,39,106.004572
-100,40,106.549122
-350,31,106.95431
-450,57,112.172108
-150,47,112.805448
-250,39,113.346032
-150,23,113.646838
-550,39,117.815023
0,50,118.462293
-300,34,118.901673
50,44,123.267755
-250,38,123.747616
-350,64,128.601959
-50,43,129.187426
-150,251,140.01397
-150,77,141.062687
-450,31,145.343304
-250,63,146.149656
-250,56,150.733707
-50,35,151.14729
-150,29,151.545157
-300,118,156.889416
-100,44,157.492278
0,101,162.624616
-200,59,167.212696
-350,48,167.762082
-50,94,172.844731
-250,98,177.971061
-350,48,178.504736
-150,43,179.051239
-200,57,183.532452
-200,45,184.095004
-100,47,184.701553
-100,61,189.313666
-150,36,189.709207
-350,83,194.563842
-300,170,200.442066
-250,177,210.17138
-200,51,210.745265
-200,50,211.328339
-150,113,216.659763
-400,89,221.521054
-150,186,227.708498
-350,198,237.755023
-100,494,258.329302
-350,103,263.27593
50,1155,309.653238
-100,259,319.937431
-250,74,320.691415
0,1155,367.247284
-50,201,377.00114
-250,199,382.85056
0,1155,429.116562
-350,150,438.32397
100,1155,483.945361
150,1155,529.475781
-200,477,545.695987
50,1059,590.81086
-50,156,596.304066
-50,125,601.585007
-150,123,606.747523
0,1155,653.409237
-250,161,658.975498
-150,387,674.556499
-150,287,685.514938
400,1155,732.775885
-300,95,737.658217
-150,175,743.351263
-150,233,753.378644
-100,1155,799.807938
-100,402,815.403345
-50,1155,861.469366
0,324,876.014355
-50,1155,921.343556
0,444,936.931037
-50,349,951.706951
50,924,987.265508
-350,77,991.936773
-150,152,997.140373
0,153,1002.463988
50,37,1006.628091
-150,58,1007.184645
50,64,1011.634461
250,638,1036.992257
-50,167,1042.523656
-250,171,1048.017936
50,78,1052.723424
-150,1155,1098.273331
-200,560,1119.058967
-150,424,1138.504149
0,131,1143.765279
50,284,1154.184679
-100,1155,1199.998297
-100,1155,1246.008337
200,111,1251.023328
100,538,1271.470814
50,1155,1316.482326
100,1155,1361.673501
50,1155,1406.97919
100,1155,1453.110674
200,386,1468.332203
300,36,1468.698593
50,383,1484.116436
50,962,1524.822329
100,69,1525.561354
250,79,1530.251818
300,35,1530.686655
100,377,1546.461796
250,45,1550.710332
200,1155,1596.434586
350,52,1596.999904
250,132,1602.257877
150,899,1638.053273
400,344,1653.282548
200,82,1654.139438
150,839,1688.96449
150,640,1715.30421
300,99,1720.163824
250,163,1726.396287
300,713,1757.879565
100,83,1758.711366
150,100,1763.718828
100,349,1779.083228
200,327,1790.663346
250,95,1795.864116
200,392,1812.114684
150,110,1817.418307
150,233,1828.136138
350,61,1828.849343
350,188,1839.189926
200,227,1845.865708
300,51,1850.554534
300,541,1872.509354
0,535,1894.343796
350,95,1899.55251
200,66,1904.393377
150,166,1910.31743
200,75,1911.059293
250,377,1927.29907
250,90,1932.351832
250,207,1942.562182
300,853,1975.815367
150,276,1986.827385
150,904,2028.407808
150,306,2039.828866
150,531,2061.525756
350,63,2066.285872
150,50,2066.844037
300,62,2067.48451
300,337,2083.033397
250,87,2088.014812
150,103,2093.144753
100,535,2114.607107
350,116,2119.945493
250,743,2148.311334
300,310,2163.43582
500,218,2174.039483
200,43,2174.505113
500,142,2180.108025
300,592,2206.310699
100,1155,2254.680867
250,283,2265.608206
300,105,2270.673554
300,667,2297.605764
150,114,2302.840882
350,151,2308.402858
200,376,2324.37205
250,167,2330.080136
200,606,2356.438372
150,261,2367.19086
200,29,2367.517948
0,953,2411.031654
100,273,2422.207832
100,30,2422.571165
150,32,2422.926644
200,44,2427.534919
0,109,2428.766043
100,216,2439.238933
50,49,2443.836323
0,28,2444.148952
0,1155,2493.887994
300,212,2500.258871
150,39,2504.84999
100,514,2527.180355
250,82,2528.083127
350,42,2532.584778
150,857,2566.450596
200,1075,2614.722808
300,273,2625.825005
350,265,2636.585813
150,51,2637.106497
300,79,2641.982641
100,85,2647.050133
250,133,2652.697102
200,226,2663.510198
350,246,2670.273037
100,56,2675.020296
150,27,2675.304736
200,54,2680.028896
200,72,2680.793988
350,137,2686.397452
200,59,2691.030548
200,312,2702.882885
100,190,2713.510062
50,31,2713.891698
50,121,2719.428044
100,25,2719.690293
300,38,2720.177263
200,40,2724.811713
250,561,2747.905659
150,23,2748.189041
400,41,2748.641687
50,50,2753.29979
300,117,2758.574164
300,30,2758.912977
100,113,2764.304327
350,120,2769.739274
200,107,2775.003956
350,28,2775.354573
250,100,2780.594963
350,196,2786.875375
200,90,2791.988394
50,51,2792.598459
500,49,2797.158024
150,86,2798.120306
200,148,2803.847551
150,45,2808.481598
150,202,2814.791043
250,35,2819.301411
250,184,2825.392474
200,85,2830.631243
300,46,2831.217377
450,624,2859.438699
200,195,2870.010512
300,153,2875.768392
150,146,2881.659405
400,61,2882.346536
250,456,2903.73454
300,295,2915.27864
50,345,2931.360365
350,63,2932.085935
100,46,2936.726239
100,48,2937.269623
450,22,2937.511863
250,30,2941.940876
50,40,2942.436435
250,92,2947.599303
350,43,2948.108006
250,43,2948.608699
500,311,2964.427392
500,971,3003.426398
100,92,3008.658036
600,736,3040.97309
150,110,3046.241597
500,132,3051.81822
300,81,3052.740056
200,111,3058.195388
100,167,3064.117064
50,1155,3113.763963
200,51,3118.393658
350,1050,3161.905556
300,118,3167.164757
200,1155,3215.295998
100,182,3221.13083
