#{"t_start": 1705046947.6459024, "env_id": "match3-wide-v0"}
r,l,t
150,28,1.270603
0,30,1.651625
150,27,2.001691
-200,28,2.377685
-100,46,6.734041
-300,34,7.237695
100,33,7.649593
100,25,7.993705
-200,26,11.941155
-350,38,12.463958
0,37,12.962625
-100,33,17.017898
0,21,17.315104
-100,44,17.861645
-150,24,18.217692
-100,31,18.624604
-50,26,22.740934
150,39,23.21367
-150,31,23.677432
-250,28,24.007548
-100,43,28.276139
-150,30,28.695019
-200,37,29.153871
-150,32,33.318739
0,38,33.792473
-50,22,34.12259
100,36,34.562415
-400,27,34.930431
-50,41,39.057399
-50,33,39.485256
-250,38,39.990936
-100,32,44.63255
-50,40,45.21049
-50,26,45.589752
-450,37,46.107028
-350,40,50.713558
-50,34,51.145403
-250,24,51.476518
-350,28,51.877447
-300,31,56.264209
-50,38,56.784817
-50,37,57.317145
-150,32,57.737023
-50,41,62.073637
-350,34,62.523434
-100,30,62.922369
-150,28,67.182655
200,30,67.598686
-50,38,68.11033
-100,41,68.624955
-100,48,73.037793
-250,25,73.360582
-350,41,73.942215
100,42,78.245659
-100,30,78.643595
-250,31,79.027569
-50,24,79.336743
-250,41,83.511599
-250,33,83.972368
100,31,84.365317
-150,32,84.775222
-250,29,89.007662
-150,42,89.561171
-150,25,89.927191
-100,54,90.637294
-250,24,94.704386
-250,31,95.121278
-250,32,95.605983
-150,30,96.008905
-150,35,100.323815
-250,32,100.733377
-300,30,101.123377
-250,30,101.557048
150,30,106.010556
-100,52,106.764546
-300,40,107.28343
-200,28,112.055419
-300,56,112.822406
-200,40,113.368581
-200,35,117.494879
-300,45,118.075327
-250,39,118.602627
-200,43,122.911616
-250,116,124.490619
-100,47,129.067694
-250,43,129.676152
-100,47,134.232122
-300,48,134.840327
-450,53,135.524189
0,45,139.745687
-500,57,140.494684
-200,30,140.895984
-50,36,145.225621
-200,48,145.87584
-250,35,146.361793
-150,72,151.097744
-100,89,156.112362
-400,39,156.601878
-200,56,157.273416
-350,63,161.982715
-150,53,162.641571
-150,44,167.015446
-550,151,172.754971
-300,60,173.521027
0,28,173.882358
-200,107,179.062211
-150,53,183.512745
50,58,184.227445
-350,76,189.024532
50,47,189.589526
-50,41,190.072237
-150,368,205.96869
100,99,210.958694
-250,61,215.716145
-150,83,216.603912
-350,148,222.142915
0,152,231.973759
