#{"t_start": 1705046947.6877897, "env_id": "match3-wide-v0"}
r,l,t
100,35,1.355376
0,24,1.618715
-150,25,1.94983
0,35,2.380679
0,33,6.634309
-250,33,7.078122
-250,31,7.468079
-250,26,7.834133
-200,28,11.794548
-100,39,12.320342
-100,38,12.843943
-100,37,13.356574
-150,34,17.416832
0,21,17.68013
-200,26,18.053131
100,35,18.484978
-200,31,22.699047
-150,40,23.228631
-50,30,23.635544
-100,32,24.050435
50,35,28.126541
-150,26,28.512508
50,39,29.062117
-150,28,29.475013
-50,38,33.60697
-150,27,33.979973
-200,32,34.393866
-100,44,38.609598
-100,34,39.023491
0,33,39.451347
-100,27,39.821358
-150,23,40.102639
100,34,44.834881
-300,31,45.262352
-100,31,45.69021
-50,26,46.064143
-300,32,50.548998
-450,46,51.140417
-50,28,51.568274
-450,27,51.959229
-200,23,56.214343
-50,37,56.726974
-200,19,56.981783
50,34,57.441812
-200,27,61.606652
-150,33,62.039729
-250,44,62.676027
-250,33,63.091917
-200,35,67.438202
-200,31,67.839057
-200,42,68.421499
-200,51,72.839752
-50,45,73.437886
-150,43,74.035964
100,46,78.375314
-50,48,78.993659
-150,48,79.661569
-250,36,83.727024
-250,44,84.321436
-50,39,84.847435
-400,41,89.244396
-100,42,89.792551
-350,24,90.086765
-200,25,90.445805
-150,41,94.78318
-100,42,95.32274
-150,33,95.759573
-150,47,100.28093
0,28,100.660572
-250,28,101.031144
-200,51,105.814082
-50,43,106.370595
-150,40,106.894471
-200,25,107.249521
-300,30,112.09631
-250,39,112.624929
150,39,113.085723
-50,33,113.586002
-350,74,118.191019
-150,43,118.743062
-350,83,123.645888
-100,38,124.167484
-250,39,128.60894
-350,41,129.235136
50,54,129.928526
-300,39,134.417459
-150,62,135.149015
-450,49,139.454466
-50,101,140.743181
50,52,145.315381
-150,26,145.69037
-350,43,146.227152
-350,39,150.579121
-150,48,151.204796
-50,31,151.609474
-200,43,155.969462
-150,47,156.581933
-150,77,157.578561
-150,33,161.851182
-200,61,162.616117
-50,63,167.230548
-150,37,167.697256
-250,43,168.223127
-300,56,172.816806
-100,36,173.292176
0,51,173.94597
-200,51,178.415972
-350,69,179.241406
100,44,183.598272
-250,183,189.673303
-350,31,190.039325
-300,77,194.814816
-350,127,200.172104
-200,37,200.637182
-250,30,204.78547
-250,196,210.924786
-350,84,215.959239
-150,40,216.396292
-150,1080,259.201398
-50,292,273.76877
-300,512,294.383442
-100,337,305.571942
-100,299,320.072936
100,1037,361.632598
-150,171,367.121621
100,1155,413.353633
0,115,418.427598
0,759,449.13884
-50,1155,494.628162
0,1155,540.255847
-50,1155,586.333237
-200,411,602.198335
-200,115,607.316668
-50,1155,653.929777
50,85,658.753027
-300,911,695.519463
0,67,700.16642
-50,205,706.201299
-150,65,710.848231
50,225,717.021085
-150,67,721.697251
0,348,737.045932
-350,79,737.894536
50,72,742.543458
-200,170,748.099838
50,160,753.533231
-250,826,789.076819
-100,72,789.783015
-100,1155,835.907487
-50,1101,881.120754
-200,239,891.280533
-200,250,901.312029
0,1155,946.224349
-200,151,951.495522
-150,501,971.61301
-50,119,976.544842
-150,1155,1022.156709
-100,417,1037.690762
-100,1155,1083.456323
100,168,1092.74172
-250,570,1113.634177
-300,58,1114.194472
0,684,1143.938816
-50,1155,1189.649443
-50,670,1215.65667
-50,1155,1261.503499
-50,294,1271.905957
-50,957,1311.342084
-150,662,1336.545198
50,204,1346.035078
0,1155,1391.397757
150,270,1401.563356
200,42,1401.964979
50,95,1406.69614
-50,681,1432.526164
0,343,1447.552191
0,1155,1493.796578
150,303,1504.483297
150,539,1525.584292
-150,86,1530.332602
150,374,1546.093784
250,462,1565.92972
50,152,1571.256866
100,134,1576.350004
150,229,1586.259738
150,52,1586.801942
300,136,1591.97964
150,72,1596.503643
300,99,1597.524867
0,1155,1643.76426
250,658,1673.968775
300,186,1679.450988
250,601,1704.394376
200,76,1705.203315
200,630,1732.113147
100,110,1737.862094
200,1155,1784.931029
450,106,1790.186464
400,51,1790.769736
350,55,1795.549524
350,57,1796.148894
300,128,1801.541262
200,1155,1851.111574
200,96,1856.146309
350,137,1861.739685
350,270,1872.609854
350,56,1877.216486
350,93,1878.192829
250,175,1888.143754
400,291,1899.508628
250,279,1910.726186
350,267,1921.721813
450,58,1926.426285
150,813,1959.21577
200,56,1959.806707
250,777,1996.290755
300,91,1997.248074
150,412,2013.489688
400,25,2017.805364
150,89,2018.721192
300,163,2028.538541
-50,51,2029.030906
150,43,2029.462811
0,38,2034.071739
100,86,2034.958721
300,311,2050.29805
300,71,2051.080982
300,51,2055.637753
300,87,2056.57621
200,40,2061.012249
250,167,2066.917362
50,1155,2115.020252
150,148,2120.650681
300,298,2136.138545
350,28,2136.442919
200,182,2142.557623
150,159,2148.250074
350,545,2174.192864
350,779,2206.421481
250,29,2206.742293
150,103,2211.948209
200,910,2249.604309
250,50,2250.094517
100,254,2260.727513
50,879,2297.888652
200,593,2324.119505
100,1155,2372.435353
150,93,2377.442277
250,143,2383.413124
350,100,2384.47187
200,719,2416.971149
100,135,2422.641603
100,59,2427.440618
250,289,2438.736122
200,48,2439.23058
100,61,2443.954447
250,469,2461.453144
200,96,2466.564538
250,40,2467.015471
200,52,2471.71237
350,800,2505.289079
100,27,2505.604309
-50,53,2510.385813
-50,46,2510.889068
150,62,2515.725871
100,126,2521.258743
100,45,2521.728432
200,39,2522.172547
150,96,2527.367097
250,24,2527.613016
0,551,2550.038343
250,61,2554.800397
350,24,2555.080861
0,45,2555.563681
300,24,2559.836771
50,1155,2608.760846
150,90,2609.821994
200,125,2615.345704
-100,1155,2664.638283
300,438,2685.802362
150,30,2686.128346
250,307,2697.720205
350,20,2702.082149
300,158,2708.136328
0,118,2713.739197
200,64,2714.499399
150,51,2719.239397
50,138,2725.031714
200,100,2726.209653
100,595,2753.690364
250,30,2754.022676
150,314,2769.738891
100,70,2770.499622
100,57,2775.293538
350,43,2775.776082
300,22,2776.009429
200,98,2781.237329
50,131,2786.747806
350,28,2787.110418
400,46,2791.711858
200,22,2791.963199
100,1155,2842.157624
50,130,2847.786993
150,56,2848.479022
400,32,2853.107998
