#{"t_start": 1705046947.6967661, "env_id": "match3-wide-v0"}
r,l,t
-100,32,1.322464
-200,26,1.601758
-150,33,2.059535
-150,30,2.441514
-150,29,6.564495
-100,35,7.068149
-150,24,7.357376
-200,29,7.742377
-500,26,11.734708
0,31,12.147221
50,30,12.530779
-50,36,13.064354
100,36,17.143563
-350,26,17.503601
-50,25,17.793825
-150,41,18.334381
-300,22,18.666911
-100,31,22.833686
-50,37,23.286476
-150,28,23.675438
150,43,27.880198
200,27,28.269159
-150,36,28.779871
-350,35,29.247621
50,31,33.331704
0,25,33.701715
50,39,34.223321
-50,27,34.535487
-100,35,38.624557
0,22,38.904809
-50,33,39.322691
-100,25,39.676744
-150,47,44.530497
-50,26,44.86879
0,28,45.27033
-150,39,45.811078
-100,29,50.246805
-100,32,50.70558
-200,24,51.012758
0,30,51.435627
0,34,51.950253
-50,37,56.428769
0,31,56.839163
-50,37,57.318143
-100,50,61.791392
-50,35,62.27809
-100,34,62.723899
-200,41,67.13977
0,28,67.539932
-100,39,68.058469
-300,30,68.444437
-100,25,68.79251
0,29,72.884271
-100,34,73.396994
-200,31,73.801591
-350,41,78.062149
-350,30,78.490005
-150,37,78.967728
-400,34,79.39966
-400,28,83.430815
-350,32,83.835733
-200,43,84.370304
-50,47,85.023976
100,32,89.284906
0,39,89.806514
-100,35,90.308174
-150,40,94.602657
-250,38,95.130254
-200,32,95.563097
50,53,100.125345
-200,30,100.509337
-50,33,100.937531
50,46,101.631847
-250,49,106.337682
-150,40,106.859587
150,28,107.241543
-150,41,112.236933
-450,38,112.73763
-350,32,113.145567
-100,49,117.518815
-300,34,117.90977
0,36,118.39248
-250,33,118.825158
-100,55,123.280721
-250,66,124.205382
-300,26,128.532146
100,59,129.350506
0,31,129.756519
-250,52,134.408482
0,28,134.744583
-250,46,135.278242
-350,48,139.58013
150,61,140.346083
-350,29,140.734205
-50,62,145.441022
-100,36,145.927251
100,51,146.598879
-450,41,150.928481
-100,47,151.584539
-200,48,156.04415
-150,103,157.322286
-200,42,161.725424
100,71,162.616117
-300,90,167.571322
-100,32,167.962807
-400,71,172.713082
-100,55,173.438248
-50,38,173.945968
100,51,178.414973
-450,93,183.347938
-300,45,183.893898
0,39,184.386023
0,79,189.177998
-250,75,190.118114
-250,37,194.402272
-200,40,194.898592
-300,198,204.846644
-400,131,210.299043
-50,84,211.246557
-50,124,216.65979
-300,105,221.710533
-100,1155,268.991473
-100,1155,315.409973
-50,153,320.832231
-200,56,325.347933
-100,248,335.429628
-100,130,340.540187
-250,139,345.973443
0,154,351.526212
-150,327,366.383254
-350,258,376.653581
-100,850,408.144915
-250,45,412.512948
-200,88,413.442332
-250,235,423.619413
-200,114,428.581336
-50,1155,474.392491
-100,747,504.599081
-250,122,509.551708
-50,1155,555.234974
-50,834,586.624714
100,1064,632.172127
50,178,637.858011
0,1132,684.923908
0,89,689.809126
-200,114,690.98386
-250,141,700.254187
-300,31,700.578219
-50,47,701.061834
-300,78,705.664527
-250,1155,752.81547
-250,233,762.926859
-150,1155,809.13455
50,169,814.764486
-100,45,815.240713
-250,287,829.707144
0,469,845.928931
300,401,861.36664
0,1155,906.876687
-100,196,916.284448
100,91,920.864477
-50,1155,966.084172
-100,1155,1011.663388
-300,917,1047.436319
100,108,1052.401371
0,632,1077.667912
150,79,1078.392048
-50,165,1087.629874
150,138,1092.840983
-150,808,1123.699713
0,319,1134.442548
150,140,1139.602276
0,1155,1189.30353
150,998,1226.236721
0,563,1250.970469
-50,1149,1296.154492
100,1155,1341.249851
-50,634,1366.226817
200,622,1391.285792
0,1155,1436.948213
150,341,1448.093742
200,56,1452.57718
50,1128,1494.580209
200,132,1499.660252
250,399,1519.145055
300,170,1524.933061
250,991,1566.041423
200,81,1566.871795
0,230,1576.691736
100,132,1581.863242
250,75,1586.391862
200,336,1597.465055
0,1155,1643.661536
300,103,1648.614929
200,41,1652.963979
250,293,1663.839376
150,1155,1709.827498
150,404,1726.357391
100,169,1732.191808
200,548,1757.865953
400,509,1778.838917
150,99,1779.884195
250,287,1795.217082
300,49,1795.781573
300,342,1811.496566
100,381,1827.881507
300,39,1828.364437
100,102,1833.596188
200,650,1861.2942
250,297,1872.481996
400,74,1877.27565
50,487,1894.661556
400,21,1898.929598
100,83,1899.929916
300,101,1905.188898
350,233,1915.81856
250,94,1920.840161
350,282,1932.000562
350,164,1937.706852
300,63,1942.43066
250,225,1948.83257
350,30,1953.273438
250,806,1985.983053
-50,1155,2034.407842
100,209,2044.587029
50,269,2055.5009
0,118,2060.78638
100,483,2077.956137
150,486,2099.090936
450,162,2104.862443
300,206,2114.920514
300,205,2125.316709
200,126,2130.705948
350,194,2136.940843
250,680,2164.158119
350,99,2169.288116
350,48,2174.001583
350,387,2190.201751
250,854,2223.428607
0,1155,2271.388918
100,211,2281.50212
250,176,2287.33643
150,610,2313.861235
150,1155,2361.936163
200,1155,2411.635944
200,48,2416.178403
100,58,2416.840293
150,77,2421.832954
200,28,2422.146995
-50,42,2422.640604
50,44,2423.108267
50,1155,2472.730263
150,21,2477.12728
150,68,2477.945713
50,35,2478.363645
300,72,2483.328449
0,1155,2532.943218
0,345,2549.069141
150,147,2554.783441
300,50,2555.325493
100,50,2559.915911
350,403,2576.422561
200,848,2609.950286
100,195,2620.366001
200,721,2652.430246
100,556,2675.023651
250,382,2691.476829
200,242,2702.50739
300,75,2703.349944
200,60,2708.264438
-50,73,2709.140016
350,54,2713.968029
200,658,2742.458299
150,126,2747.97374
200,198,2758.27761
200,86,2759.271209
100,119,2764.700514
50,175,2774.809444
150,55,2775.491961
150,193,2781.785721
200,29,2786.090221
200,52,2786.716371
200,31,2787.101441
200,207,2797.563925
350,112,2802.848411
0,48,2803.434016
50,51,2808.07506
150,59,2808.790575
250,43,2809.265858
150,347,2825.349169
300,47,2825.889326
100,115,2831.544139
50,39,2836.314469
350,104,2837.516844
300,80,2842.5077
200,60,2847.296587
100,1155,2897.754744
450,326,2909.573068
300,187,2919.906325
450,29,2920.255032
100,367,2936.637665
300,37,2937.021422
150,63,2937.765769
400,17,2942.018688
500,57,2942.722031
400,31,2943.055732
300,836,2981.093804
150,141,2986.71191
300,31,2987.044948
150,220,2997.548486
0,1155,3046.660304
200,26,3046.933616
400,1042,3091.668941
200,1155,3140.771606
300,145,3146.363052
350,418,3166.732464
350,1155,3214.93524
100,506,3236.361947
250,134,3241.762933
200,287,3252.620003
100,1155,3301.63615
0,1155,3349.927199
350,348,3366.092761
200,134,3371.64605
50,606,3394.522079
250,56,3399.319738
450,71,3400.030408
50,38,3404.591598
-50,801,3437.299418
300,738,3469.611771
350,544,3491.443715
150,1155,3540.365492
0,1155,3589.15754
200,586,3615.837852
200,255,3626.595238
100,537,3648.655927
-50,171,3654.006141
50,587,3680.182811
300,28,3680.453201
250,359,3696.492095
200,80,3697.340204
300,282,3712.544087
350,1155,3761.900511
250,1155,3810.846925
150,879,3848.915517
150,1155,3897.796204
200,36,3898.176226
250,19,3898.391173
100,432,3915.186474
100,1093,3963.406664
150,382,3979.617586
400,838,4013.225656
350,147,4023.052253
0,583,4045.456524
500,20,4045.686398
150,80,4050.592627
150,1155,4099.537737
250,146,4105.339217
100,1121,4153.915975
100,318,4165.190435
300,1006,4207.652958
0,1155,4255.898845
100,145,4261.495034
50,88,4266.456964
150,99,4271.543819
300,62,4272.230227
50,23,4272.496982
400,60,4277.099494
100,295,4288.518681
300,23,4288.77097
300,72,4293.682961
100,101,4298.786145
0,143,4304.235541
100,596,4330.775902
300,130,4336.296001
150,245,4342.972759
150,217,4353.515903
-150,395,4370.141717
400,115,4375.463898
350,22,4375.702288
200,46,4380.213489
100,184,4386.204037
100,18,4386.41077
0,1155,4434.891057
200,105,4440.446249
400,291,4451.578197
150,37,4456.006616
300,607,4478.587678
-50,448,4499.444322
