#{"t_start": 1705046947.8144512, "env_id": "match3-wide-v0"}
r,l,t
150,41,1.311495
-100,26,1.614725
-150,27,1.966784
-100,34,2.382673
0,26,6.524602
-200,26,6.84674
-200,39,7.364357
0,32,7.825156
50,30,11.859373
0,44,12.414092
0,37,12.956642
-50,40,17.115638
-150,35,17.53751
-300,29,17.936444
-150,40,18.465031
-100,23,22.500578
-100,42,23.101969
150,24,23.403165
-100,33,23.829027
0,40,28.001873
-250,27,28.394822
-350,30,28.812783
50,26,29.199748
-200,32,33.297833
-50,35,33.743604
-100,47,34.376911
-150,35,38.418109
100,35,38.88885
-50,27,39.267839
-100,26,39.581001
-50,36,40.082691
-400,42,44.882752
-250,32,45.310223
-100,34,45.801812
-100,27,50.18896
-100,32,50.687627
-100,26,50.995803
-200,36,51.537356
-200,30,55.909159
-300,24,56.235288
-250,20,56.489607
-50,25,56.847142
-150,29,57.264287
-200,33,61.480988
250,36,61.935008
-250,32,62.422704
-200,32,62.830614
-300,31,67.136778
-200,41,67.68048
-200,36,68.160198
-150,36,68.583068
0,31,72.75797
-100,29,73.175079
-150,29,73.565618
-300,25,73.919276
100,28,77.980369
-200,30,78.402241
-200,35,78.866998
0,41,79.40864
-150,31,83.44777
-200,35,83.927487
-300,29,84.31944
-200,39,84.783612
-100,29,89.018002
-50,29,89.410573
-50,42,89.969079
-250,28,90.353054
-250,39,94.671478
-50,48,95.32673
0,24,95.624932
-200,34,99.982727
-250,29,100.360736
-350,39,100.887527
-300,43,101.50419
-250,41,106.094332
0,65,106.939351
-250,32,111.829025
-150,33,112.258876
50,75,113.240923
0,52,117.628522
0,38,118.093279
-50,30,118.484941
-150,41,122.827842
-450,38,123.303659
-200,44,123.914161
-100,58,128.684001
50,80,129.767214
-350,63,134.524173
-350,80,135.501816
50,58,139.930195
-300,36,140.3658
-350,73,145.267515
-200,29,145.605687
-300,26,145.954181
-100,40,146.489177
200,51,150.950816
-50,71,151.862351
-150,76,156.695933
-250,36,157.122821
-400,140,162.77364
-300,150,172.350942
-150,63,173.180474
-150,43,173.704832
-50,32,177.972286
-450,169,183.816105
-100,43,184.339147
-150,38,188.679445
50,41,189.195982
-100,53,189.854818
-250,41,194.169894
-150,34,194.566022
-100,142,200.092995
-300,49,200.670454
-300,70,205.343884
-100,96,210.315997
-50,51,210.905835
-200,612,237.600437
-150,1155,284.199574
-350,530,305.027793
-150,144,310.259554
-200,78,314.900873
-300,181,320.599057
-150,502,340.993283
-350,353,356.442712
-300,587,377.744742
-150,560,402.460156
-200,323,413.489209
-250,48,417.866822
-250,55,418.473696
0,628,444.042036
100,1095,488.896456
150,124,493.933661
-250,136,499.112125
-100,1155,544.805311
-100,705,570.999887
150,671,596.971128
-100,230,607.2796
-300,520,627.883958
-100,1155,674.794549
250,300,689.852521
-100,57,690.395285
50,226,700.586318
50,120,705.636667
0,137,711.106975
-250,172,716.68839
-200,86,721.578569
-50,78,726.427951
-300,126,731.608455
-250,237,737.94371
-200,1155,784.473528
-150,433,804.172626
-50,1155,850.373219
-150,1155,896.099477
-250,96,900.79788
-100,1155,945.718917
-50,571,966.496336
200,281,976.873961
-150,226,986.647604
100,178,992.274357
-150,1155,1037.901448
0,99,1042.694327
-100,89,1047.369498
50,56,1047.974648
150,54,1052.395407
150,504,1072.570173
-250,1064,1113.541856
-100,1155,1159.346403
50,379,1174.523125
-50,322,1189.167893
0,736,1215.834486
50,565,1240.560954
-150,1155,1285.96231
-100,98,1286.938626
100,230,1296.729604
100,572,1321.215017
100,1055,1361.504951
100,1155,1406.809644
150,866,1442.319814
0,186,1447.967082
100,597,1473.148144
-100,82,1477.718116
200,258,1488.085935
150,305,1498.824992
150,88,1503.637359
300,73,1504.348657
50,340,1519.371374
150,111,1524.452318
200,62,1525.143472
300,110,1530.184996
200,105,1535.198222
100,106,1540.167687
150,616,1561.847514
50,555,1586.402983
0,167,1591.936949
200,176,1601.453091
250,166,1606.925107
100,1155,1653.300501
100,227,1663.458395
150,317,1674.488386
200,191,1683.608873
150,342,1694.484552
200,201,1704.421304
200,1155,1752.848262
300,159,1758.41908
300,688,1785.236792
300,71,1790.175831
150,72,1795.113027
150,189,1801.163625
350,267,1812.13227
250,78,1817.019102
350,59,1817.701303
300,144,1823.306696
250,129,1828.906821
150,483,1850.781766
200,56,1855.398148
250,45,1855.880183
350,87,1860.900198
400,632,1887.749574
150,91,1888.756637
100,89,1893.727017
200,93,1898.821885
400,42,1899.326098
350,83,1904.423995
200,112,1909.706152
400,429,1926.504043
350,1155,1975.0254
350,247,1985.742473
350,61,1986.384174
200,208,1996.609895
300,54,1997.170199
250,261,2007.822807
250,53,2012.407314
150,53,2012.931898
200,258,2023.716908
200,542,2045.684031
400,157,2055.400012
250,63,2056.10088
150,391,2072.351025
100,279,2083.290729
100,1155,2131.665107
100,102,2136.964074
400,92,2142.0885
200,145,2147.586389
250,40,2148.019974
300,205,2158.144495
450,217,2168.456999
200,87,2169.376548
300,40,2174.007213
250,131,2179.470363
250,402,2195.7744
250,361,2211.612642
300,1155,2259.818985
100,72,2260.52102
0,1037,2303.389361
100,766,2335.425548
100,371,2351.29735
150,232,2361.705045
0,112,2366.907266
100,352,2383.295439
200,97,2384.331245
200,303,2400.08939
250,309,2411.573552
350,49,2416.181948
50,51,2416.737243
100,26,2417.04118
300,23,2417.286799
50,27,2421.723754
100,36,2422.159539
150,74,2422.970634
200,31,2427.459
100,86,2428.44342
150,30,2432.780896
50,509,2454.693913
150,31,2455.026909
-50,31,2455.377033
150,31,2455.725544
50,73,2460.627026
150,79,2461.536747
50,51,2466.119963
-100,45,2466.639669
200,38,2471.114807
150,28,2471.464984
300,51,2472.07045
100,34,2472.501214
150,68,2477.440548
150,230,2488.305676
300,134,2493.710469
50,1155,2543.667956
250,38,2544.084731
-50,313,2559.644445
200,231,2566.156046
250,499,2587.783908
150,48,2592.313674
350,68,2593.006604
50,69,2597.795924
-50,42,2598.221112
200,250,2609.143057
150,28,2609.478251
50,80,2614.544614
250,490,2635.900304
300,163,2641.631663
150,1155,2691.381868
250,722,2724.756606
150,172,2730.875279
0,52,2731.467409
150,62,2736.423729
250,133,2742.125841
100,101,2747.376944
300,254,2758.294785
300,134,2763.889725
300,266,2775.081635
350,34,2775.506529
0,85,2780.558588
50,77,2781.431937
-50,60,2786.123708
150,28,2786.461773
100,1137,2836.528274
200,33,2836.896936
400,116,2842.282382
800,47,2842.850466
300,108,2848.232864
50,58,2853.182217
50,25,2853.460867
100,26,2853.784064
200,25,2854.078968
50,45,2858.788867
150,515,2881.192206
100,134,2886.859126
400,245,2897.666684
350,82,2898.575512
150,48,2903.220154
350,36,2903.647097
350,378,2920.222036
450,63,2920.888938
250,64,2925.683745
250,352,2941.95137
450,37,2942.37895
250,54,2943.012442
250,147,2948.781126
350,196,2959.174134
150,1155,3008.615496
350,208,3019.150605
100,41,3019.613845
300,651,3046.715383
200,105,3052.077994
250,75,3052.929202
350,40,3057.57448
50,219,3064.075223
250,129,3069.546288
250,56,3074.292026
300,34,3074.628006
200,44,3079.386073
450,199,3085.858344
250,85,3090.916517
400,114,3096.167653
50,1155,3145.295814
50,1155,3193.424482
50,168,3199.077085
300,1155,3247.330224
250,837,3284.586067
150,664,3311.920219
200,65,3312.522913
-50,520,3333.932985
200,111,3339.181814
150,60,3344.017055
450,432,3360.952364
250,75,3365.861931
150,207,3372.162553
50,60,3376.944483
50,31,3377.277318
200,1155,3426.213004
300,120,3431.52533
300,71,3432.330806
350,92,3437.391596
250,28,3437.699606
200,1155,3486.435786
200,133,3491.889809
200,30,3496.365576
150,55,3496.969791
100,42,3497.41618
250,70,3502.229718
300,102,3507.447891
150,54,3508.07125
250,884,3545.792292
200,126,3551.232287
100,39,3551.667523
150,37,3556.144342
350,43,3556.626538
200,67,3561.446891
150,40,3561.864089
200,42,3562.332214
200,228,3572.765006
150,355,3588.613762
50,37,3588.967541
50,1155,3637.872741
0,39,3638.283246
200,476,3659.005764
-50,82,3663.838096
0,1155,3712.614924
-50,81,3713.485529
200,291,3729.072231
400,126,3734.57029
50,449,3751.545552
-50,349,3767.570851
200,979,3810.565856
400,455,3827.652533
250,1155,3876.58919
100,372,3892.873843
100,44,3893.318083
50,1155,3942.240145
350,1155,3991.08164
50,995,4034.633743
400,259,4045.436829
350,87,4050.38852
100,1155,4099.388137
200,171,4105.449449
100,1155,4154.35726
100,145,4159.866438
200,1155,4207.816473
-100,349,4223.408581
400,61,4228.189976
50,164,4233.913346
350,131,4239.348237
150,209,4249.506904
300,166,4255.30856
50,108,4260.483276
150,178,4266.435371
400,106,4271.619452
200,37,4271.994709
150,81,4276.802843
50,269,4287.935395
150,180,4294.035371
250,252,4304.700545
300,125,4310.153621
100,123,4315.432229
100,221,4325.864269
150,317,4337.337403
250,146,4347.145153
0,497,4364.861867
150,376,4381.110309
100,204,4391.384796
50,460,4412.398614
100,117,4417.734283
-50,427,4434.206103
200,202,4440.751572
150,47,4445.138641
50,267,4456.174139
250,16,4456.361182
-50,464,4477.415094
150,49,4477.933392
150,1155,4526.357953
150,1155,4574.632337
0,330,4590.13346
-100,113,4595.310007
300,96,4596.342298
200,221,4606.743126
150,1155,4655.83393
150,62,4660.574215
150,17,4660.770006
150,41,4661.194704
250,41,4661.604861
50,469,4682.668221
50,1155,4731.363666
150,1155,4779.919096
100,72,4784.8211
150,573,4807.007654
50,215,4817.279621
200,285,4828.296405
50,72,4833.121778
-100,148,4838.739129
300,185,4844.894537
50,252,4855.77646
300,24,4856.026378
250,914,4894.028657
250,31,4898.404005
150,18,4898.610644
200,1155,4949.022672
100,820,4982.629489
50,53,4987.312087
100,85,4988.205995
250,203,4998.522607
400,391,5014.948963
400,117,5020.204813
150,93,5025.206339
250,203,5031.363328
350,248,5042.193852
50,155,5047.896135
450,44,5052.272928
300,66,5053.020666
150,116,5058.263837
100,162,5063.919259
300,725,5096.061318
200,38,5096.538122
250,1077,5144.218287
150,321,5155.747223
200,73,5160.577669
250,546,5183.312289
450,390,5199.827484
400,29,5200.190723
150,65,5205.049554
250,113,5210.49371
100,23,5210.752496
300,137,5216.411659
250,490,5238.080755
250,25,5238.373687
300,24,5238.64291
300,96,5243.89121
150,144,5249.539001
350,18,5249.769541
300,31,5250.136601
150,81,5255.00556
150,155,5260.811352
150,70,5265.715009
350,28,5266.069191
400,16,5266.252077
200,216,5276.844144
350,119,5282.327183
450,388,5298.984215
200,101,5304.257132
400,21,5304.520378
150,22,5304.787014
250,190,5311.021719
200,41,5315.444921
300,21,5315.702354
350,25,5316.073411
300,262,5327.092697
400,40,5327.61393
300,22,5331.818367
200,63,5332.621093
250,62,5337.427441
500,24,5337.715542
200,47,5338.401777
150,24,5338.708538
250,856,5377.396237
200,21,5377.672465
50,17,5377.906258
400,48,5382.532769
500,24,5382.903548
200,32,5383.338674
250,16,5383.579148
350,42,5388.141125
350,29,5388.516321
450,68,5389.318443
400,19,5393.579632
400,45,5394.220972
450,32,5394.624791
250,64,5399.463762
350,27,5399.820612
250,52,5400.455933
-50,15,5400.672077
150,52,5405.220352
250,40,5405.770674
50,18,5406.036946
250,28,5406.405297
200,97,5411.665182
200,22,5411.987649
450,24,5416.22524
150,28,5416.588913
500,22,5416.862798
300,20,5417.144068
350,17,5417.384262
250,16,5417.570888
250,98,5422.746338
300,59,5427.464826
550,45,5428.012265
250,19,5428.280811
350,19,5428.550344
250,54,5433.267333
350,19,5433.516995
300,35,5433.925478
150,20,5434.195477
150,58,5438.920728
300,19,5439.174682
250,58,5439.963584
350,23,5440.258503
150,110,5445.643854
300,57,5450.357497
300,20,5450.599286
150,55,5451.349843
150,124,5456.962425
350,23,5461.262806
450,60,5462.049233
100,72,5466.923881
200,115,5468.509151
350,35,5472.936977
350,32,5473.355843
250,22,5473.651624
150,76,5478.679256
250,23,5478.961125
350,28,5479.341579
350,52,5484.042222
350,26,5484.428617
200,149,5490.432276
300,59,5491.295354
250,33,5495.639724
400,64,5496.532823
400,71,5501.434588
250,33,5501.99895
50,15,5502.20611
200,19,5502.496155
350,30,5502.9218
450,29,5507.599196
450,37,5508.120956
450,18,5508.394094
400,27,5508.704394
200,109,5514.17238
300,106,5519.758752
200,71,5524.753775
250,52,5525.420144
200,26,5525.78805
300,37,5526.223318
300,22,5530.431065
350,26,5530.722712
500,51,5531.49537
250,31,5531.904664
100,25,5536.20018
550,18,5536.445403
250,21,5536.701956
250,16,5536.865216
150,32,5537.330518
250,62,5542.135115
150,121,5547.653259
150,39,5548.169934
100,15,5548.342534
350,34,5548.828965
250,25,5553.059375
350,23,5553.397173
250,64,5554.282385
150,104,5559.545824
150,17,5559.774509
50,113,5565.158935
350,21,5565.43701
150,25,5569.771167
400,51,5570.446941
0,56,5571.20953
400,22,5575.376725
150,50,5575.990527
450,27,5576.297567
250,49,5580.828559
200,44,5581.449961
500,25,5581.77945
300,49,5582.432229
200,24,5586.752188
50,39,5587.223051
350,32,5587.693467
150,35,5588.114065
350,253,5599.175767
300,22,5603.491694
350,135,5609.206068
450,37,5609.698426
400,51,5610.377202
400,85,5615.392736
