#{"t_start": 1705046947.673827, "env_id": "match3-wide-v0"}
r,l,t
-150,31,1.336428
-100,27,1.624698
0,30,2.000694
100,28,2.373696
0,31,6.5625
-150,31,6.971407
-100,33,7.443146
100,36,7.885995
150,38,12.033526
-100,26,12.405116
-50,23,12.692349
-250,23,12.981577
-150,26,13.362558
50,52,17.663175
-100,32,18.086045
-350,27,18.451069
150,36,22.651174
-50,46,23.286477
-50,39,23.831022
-200,25,24.120249
-400,32,28.249212
-250,25,28.552401
-200,33,28.995295
50,30,29.415173
-50,36,33.594003
-50,31,34.003907
-200,33,34.423786
50,50,38.685396
0,43,39.291775
0,25,39.591972
-50,25,39.941069
-150,37,44.620583
-200,30,45.056289
-50,23,45.40497
-350,29,45.807289
-100,31,50.259771
-400,33,50.728519
-150,32,51.145405
50,35,51.676984
-100,37,56.107629
0,30,56.521522
-150,34,57.004825
-200,40,57.57745
-200,34,61.806353
50,40,62.335936
-300,29,62.737863
0,25,63.088925
-50,27,67.31231
0,33,67.790187
300,48,68.360662
-400,29,68.732667
-150,34,72.993912
-250,38,73.532638
0,42,74.067879
-400,40,78.356363
-200,33,78.767266
-100,32,79.170188
50,39,79.707447
50,39,83.850693
-200,48,84.484998
-50,23,84.762258
-350,34,89.092801
-100,47,89.694814
-100,30,90.090756
-150,26,90.458771
-500,39,94.780187
-200,39,95.297807
-100,41,95.850331
-200,50,100.383656
50,40,100.912596
-200,29,101.332648
-150,50,106.055436
-150,35,106.511223
-200,54,107.253511
-200,54,112.398502
-50,57,113.160527
-350,26,113.511202
-200,54,117.901793
-400,40,118.415419
-150,41,118.958525
-50,41,123.253793
-150,43,123.82542
-200,37,124.339025
-300,43,128.874492
200,68,129.804665
0,31,134.171286
-150,56,134.894689
-150,39,135.368001
-300,61,139.816499
-200,42,140.344088
-350,48,141.00584
-150,48,145.480914
-200,48,146.11176
-150,29,146.495148
-150,35,150.798741
-200,43,151.353812
-200,63,155.983425
-50,37,156.468786
-200,55,157.121002
-200,65,161.864148
-100,42,162.380781
-50,54,166.932938
-200,33,167.335346
-250,118,172.673187
-350,33,173.076312
-200,57,173.814615
-400,166,183.492551
-200,50,184.093803
-150,42,184.616781
-350,135,190.141053
-200,53,194.587963
-100,39,195.072129
0,96,200.065172
-300,38,200.539443
0,47,204.852628
-50,42,205.381411
-300,76,210.124506
-250,44,210.609266
100,175,216.652782
50,1155,264.095042
-150,95,268.886894
-150,816,300.492304
-200,61,304.874424
150,1155,351.361801
-350,70,352.088137
-250,42,356.382872
-450,84,357.224004
0,53,361.6316
-250,413,377.308088
-300,960,417.703506
-300,75,418.514833
-200,88,423.262727
-100,73,424.041397
-100,37,428.21157
-250,66,428.860173
0,151,434.252705
-50,130,439.363209
-500,133,444.588496
-200,322,459.226604
-150,1155,504.763735
-200,285,515.12492
-200,81,519.71987
200,1155,565.539961
-200,23,565.823891
-200,1155,612.194913
-50,1155,659.027725
50,52,659.528256
100,98,664.31804
-200,131,669.710802
-250,105,674.569038
150,622,700.812437
-100,399,716.54195
-50,81,721.445924
0,1155,768.201941
-50,1020,809.189404
-100,1155,855.607692
-50,1155,901.136981
-50,59,901.71842
-350,612,926.329156
-150,654,951.574307
-150,555,972.163944
-100,406,991.423753
100,113,992.51006
-50,244,1002.442154
-300,573,1027.091179
-300,1155,1072.941196
50,215,1082.705796
-100,633,1107.974375
-200,692,1133.829234
-200,199,1139.600282
0,1155,1185.356045
-150,325,1200.238778
-100,182,1205.939334
100,350,1220.908774
100,82,1225.625328
-50,1155,1271.349454
100,205,1277.152089
150,461,1296.639844
0,1155,1341.717495
100,882,1376.622459
400,92,1381.404378
100,229,1387.322371
150,344,1402.151059
50,29,1402.471642
50,373,1417.441285
100,46,1421.83041
50,989,1458.615654
0,771,1489.427524
150,998,1530.567973
300,134,1535.836515
200,97,1540.773635
200,117,1546.02039
100,249,1556.143705
250,74,1556.841552
-100,735,1587.053724
400,74,1591.610598
150,92,1592.558793
100,230,1602.611003
250,107,1607.527423
200,253,1617.742536
100,305,1628.451081
100,270,1642.6057
400,116,1643.864214
250,64,1648.389393
300,602,1674.13134
200,106,1678.80671
100,98,1679.825986
200,26,1680.07133
250,161,1688.72214
150,23,1689.000395
150,127,1694.170514
300,384,1710.01369
200,70,1710.742319
250,166,1720.263993
250,538,1742.615962
200,77,1747.453561
250,653,1773.823103
400,373,1789.693186
50,265,1800.772825
300,429,1817.571169
450,112,1822.798358
150,154,1828.634174
250,198,1839.089223
400,134,1844.743731
300,80,1845.666459
350,26,1850.034191
450,22,1850.307382
150,309,1861.775609
300,67,1866.562787
400,53,1867.107473
300,59,1867.724152
400,106,1872.826708
200,179,1882.803507
350,83,1883.678415
400,239,1894.305898
150,82,1899.326643
350,183,1905.490707
200,46,1910.088408
300,126,1915.471951
350,277,1926.569356
450,26,1926.855195
200,48,1927.368034
50,55,1932.008034
500,181,1937.873016
400,106,1943.09667
350,440,1963.927796
300,135,1969.452752
-50,216,1975.673442
450,328,1991.250126
300,973,2029.491714
200,32,2034.014483
-50,440,2050.724984
250,744,2082.791615
150,553,2104.660804
400,1045,2148.223934
350,101,2153.284569
250,42,2157.709786
100,819,2190.635202
100,100,2195.716906
50,71,2196.454544
350,125,2201.68056
250,62,2206.372941
150,350,2218.252577
100,125,2223.634917
300,597,2249.825526
250,989,2292.111488
100,932,2329.865603
200,65,2334.607686
200,164,2340.324593
0,45,2340.775481
100,170,2350.500019
150,1064,2394.94051
200,110,2400.171057
200,108,2405.34169
100,34,2405.755026
300,227,2416.383751
-50,77,2417.205602
100,253,2428.336729
150,18,2428.508082
150,62,2433.274823
150,111,2438.552564
150,1001,2482.593037
50,27,2482.882084
150,524,2504.911068
200,104,2510.282196
200,55,2510.904028
-100,43,2511.368628
250,169,2521.515139
-50,52,2522.080448
200,47,2522.645818
200,111,2527.953808
0,1155,2577.213371
50,1155,2626.345511
-50,1155,2675.710985
350,38,2680.266525
0,37,2680.66379
100,138,2686.263932
200,108,2691.499768
50,50,2692.091266
350,99,2697.270469
200,71,2702.293776
150,99,2703.388655
100,35,2708.000005
150,35,2708.436441
150,29,2708.779931
200,113,2714.323392
150,123,2719.878591
450,15,2720.039865
50,54,2724.879681
250,46,2725.408299
50,47,2725.965119
250,57,2730.750955
250,34,2731.127866
150,94,2736.429065
300,62,2737.156809
100,46,2741.83789
50,146,2747.635076
50,128,2753.155823
200,244,2763.940896
300,237,2770.697558
450,66,2775.625212
350,165,2781.571564
450,118,2786.974632
150,47,2791.591779
250,313,2803.215435
300,58,2803.904393
100,481,2825.582456
200,28,2825.912265
400,37,2830.601323
300,34,2831.049435
300,93,2836.454803
350,655,2864.850447
50,137,2870.585069
300,699,2898.910582
300,96,2904.082095
500,91,2909.18658
150,31,2909.552706
250,1155,2959.455791
50,98,2964.747595
500,35,2965.162946
150,391,2981.668622
300,51,2986.312575
300,40,2986.725873
250,53,2987.295899
250,131,2992.712
150,631,3020.165061
250,106,3025.383786
250,176,3031.250089
-50,38,3035.653006
250,922,3074.52197
150,202,3085.266274
100,32,3085.617663
500,191,3091.788217
250,436,3112.817032
400,75,3113.573921
100,238,3124.123575
50,1155,3172.79115
0,1155,3220.888566
0,1155,3269.080209
200,116,3274.407432
100,15,3274.593989
100,129,3280.086107
450,39,3284.717181
150,210,3291.067233
100,1155,3339.395804
50,1155,3388.722134
0,1155,3437.640339
100,171,3447.756523
250,89,3448.629808
100,124,3453.951237
0,1155,3502.734793
200,41,3507.330385
250,64,3508.032028
50,129,3513.452048
0,1155,3562.415344
200,1155,3611.025827
100,127,3616.484832
400,31,3616.803227
150,174,3626.737307
150,77,3627.537709
100,1155,3675.652111
150,1038,3723.449078
0,1127,3768.255406
150,43,3772.769653
350,364,3784.701592
200,1155,3837.975838
150,1155,3887.012888
450,255,3897.731774
200,20,3897.95862
50,595,3920.499114
350,47,3925.047409
150,1155,3973.949419
300,203,3980.177093
0,290,3995.572334
50,1155,4044.725244
250,506,4066.321806
350,111,4067.554339
350,225,4078.3167
350,143,4083.781859
300,48,4088.345383
150,65,4089.034148
250,987,4132.482882
150,275,4143.444924
250,143,4149.003328
200,155,4154.642754
100,348,4170.180911
100,1028,4212.879445
300,83,4217.70367
0,1155,4266.125748
300,63,4266.808962
50,75,4271.655484
250,239,4282.255047
500,124,4287.716333
150,52,4288.319497
100,37,4288.754321
350,133,4294.293485
150,357,4310.164316
150,114,4315.350852
50,442,4336.309963
50,291,4347.625231
250,24,4347.868551
250,46,4348.361833
200,154,4358.264825
200,64,4358.926253
0,274,4370.12804
350,84,4375.045075
100,202,4381.279857
100,53,4385.902265
200,234,4396.504022
150,1130,4444.836098
300,330,4456.620403
0,116,4462.056272
0,86,4466.923959
200,55,4467.486059
100,402,4483.645726
50,34,4488.044113
0,24,4488.386976
-100,147,4494.010368
250,67,4494.729442
50,84,4499.657893
50,451,4520.484963
200,25,4520.736126
500,118,4525.979008
50,496,4546.965325
200,259,4557.81467
100,303,4569.064351
100,54,4569.640367
250,312,4585.167548
150,383,4601.225095
400,80,4602.093151
200,63,4606.747961
-150,70,4607.515281
200,130,4612.984183
250,399,4633.427872
50,31,4633.780295
200,152,4639.428495
0,180,4645.494208
50,708,4677.457558
0,1155,4726.153417
50,30,4726.499709
200,472,4747.709663
100,38,4748.146134
150,39,4752.502911
100,262,4763.339561
-50,15,4763.514081
300,256,4774.229621
200,56,4774.796495
300,109,4779.975476
250,230,4790.595409
-100,363,4806.601469
100,173,4812.351601
250,232,4822.821841
150,56,4823.422718
200,66,4828.094918
50,286,4839.306221
100,660,4866.93093
250,110,4872.144744
-200,286,4883.10731
300,277,4894.071541
300,182,4904.114925
300,559,4926.750453
50,776,4960.862951
