#{"t_start": 1705046947.7037468, "env_id": "match3-wide-v0"}
r,l,t
50,25,1.186828
0,22,1.468076
-150,34,1.908938
50,42,2.452485
-50,38,6.74601
0,35,7.203787
0,30,7.591749
50,27,7.951818
0,28,11.971075
50,24,12.273469
50,30,12.672402
-50,25,12.978583
50,27,16.983989
-200,32,17.410848
-300,30,17.796817
-100,40,18.329393
50,23,18.669413
-100,32,22.842663
-150,28,23.22165
-100,24,23.524839
0,25,23.88388
-150,23,27.826343
-200,31,28.246221
-100,27,28.637175
-150,30,29.037183
-250,31,29.476011
0,25,33.448392
-300,26,33.822393
-100,28,34.208362
-100,28,34.527509
-100,34,38.609598
100,38,39.107269
-100,32,39.528142
-300,38,40.030831
-100,33,44.695254
200,39,45.246395
0,25,45.571525
-50,32,46.048186
-100,34,50.549995
-100,30,50.966881
-200,34,51.419671
100,31,51.843539
-50,29,56.216338
-350,22,56.55244
-150,29,56.895015
-150,25,57.276256
-250,33,57.702117
-250,43,62.108544
-100,33,62.54837
-250,32,62.960268
-200,44,67.432218
-250,25,67.783206
-300,68,68.652882
-50,35,72.861695
-50,35,73.382036
-450,44,73.930247
-250,32,78.082096
100,43,78.706428
-200,36,79.140268
-200,27,79.508375
-150,37,83.655217
-200,29,84.030214
-200,32,84.445105
-350,29,84.832482
50,40,89.220461
-50,35,89.656915
-200,38,90.183508
100,32,94.366221
-50,39,94.902863
-300,38,95.428458
-150,36,95.878256
-50,46,100.376673
-450,27,100.75831
-300,39,101.302728
0,27,101.659774
-200,68,106.624666
-50,51,107.285425
0,30,112.13022
50,46,112.755583
50,46,113.352626
-350,28,117.42008
-150,30,117.784107
-200,60,118.578691
-400,60,123.117067
-350,37,123.646886
-350,48,124.301126
-200,37,128.735861
100,75,129.775743
-300,60,134.524173
-200,69,135.363614
-200,65,139.840435
-100,36,140.322148
-150,75,145.179744
-300,64,146.049925
-100,28,146.426332
-200,79,151.293864
-350,38,151.747262
-200,30,155.962367
0,35,156.429889
-50,61,157.190639
-200,33,161.476054
-200,42,161.996098
-100,37,162.475011
0,72,167.215589
-400,57,167.931891
-250,43,172.327344
-150,50,172.954686
-300,33,173.408611
0,44,173.960928
-150,31,178.199856
-350,70,179.027206
-350,55,183.551398
-300,91,184.657671
-50,54,189.143093
-100,32,189.53966
-250,90,194.446156
50,45,195.020268
-200,87,199.89653
-500,81,200.855958
-450,80,205.636064
300,534,227.521997
-300,74,232.333802
-250,55,232.916886
100,67,237.568478
-50,47,238.028887
50,1155,284.632569
-250,216,294.518589
0,57,295.12181
-150,1155,341.397482
-100,87,346.307827
-100,618,371.858276
-100,90,376.631641
-50,445,392.527061
50,570,413.761898
-50,102,418.697234
0,1155,464.685888
0,887,499.898661
-150,185,509.422649
-200,683,535.118042
-250,97,539.909693
0,949,576.221981
-200,91,580.975804
-350,289,591.460693
150,406,607.487551
-100,84,612.073567
-300,306,622.857186
-200,93,627.71539
-200,372,643.174014
-150,819,674.962692
-50,100,680.008029
150,249,690.50599
-150,34,690.887117
-300,308,705.717978
-100,571,727.523391
100,53,731.920109
-50,1155,778.59601
50,330,789.586062
-50,1155,835.715237
-250,820,870.513245
0,240,880.527721
-50,78,881.331706
-100,1155,926.601024
100,536,946.854794
50,132,951.960171
-100,1155,997.441123
-150,1155,1043.172288
-150,97,1047.96009
-50,74,1052.599007
0,1155,1098.183571
50,394,1113.532438
-200,248,1123.606991
-150,235,1133.520068
-50,656,1159.179848
0,1155,1205.141987
-200,332,1216.197762
300,783,1250.767013
150,969,1286.645313
-50,162,1291.94547
-50,470,1311.615863
-100,1155,1356.674618
100,234,1366.507119
0,196,1372.263143
100,167,1381.467944
0,186,1386.966162
100,1155,1432.642886
300,816,1467.739271
50,566,1488.827633
150,739,1519.406498
150,179,1525.269137
200,75,1529.942645
100,71,1530.745499
150,407,1550.615586
250,70,1551.317291
