#{"t_start": 1705046947.584067, "env_id": "match3-wide-v0"}
r,l,t
-100,26,1.315484
-350,37,1.814191
100,34,2.222101
-150,22,2.484401
100,33,6.738032
0,27,7.069147
100,25,7.435168
-200,23,7.719409
0,29,8.097428
-350,34,12.16318
-50,36,12.652456
-200,29,13.05139
200,21,13.355577
-100,30,17.37694
50,48,18.011244
-200,33,18.432118
0,29,22.553436
-150,31,22.987276
0,22,23.264534
0,27,23.643522
0,31,24.051433
-250,29,28.084652
-100,27,28.478599
-50,34,28.922489
-300,27,29.326411
-300,39,33.528217
50,40,34.060755
0,26,34.383891
-150,39,34.895525
-450,35,38.98659
-150,29,39.372558
-200,32,39.781465
0,36,40.21434
-50,37,44.972513
-200,27,45.367072
-150,36,45.835212
-400,37,50.393414
-150,39,50.957905
-250,38,51.496465
0,26,51.823593
-50,36,56.308092
-150,32,56.728968
-200,25,57.085505
-200,39,57.652249
150,33,61.872176
-250,38,62.381814
-200,29,62.787729
100,23,63.069975
50,26,67.330262
-100,33,67.763252
-300,37,68.267911
-100,46,68.803479
50,31,72.980376
-50,37,73.518671
-350,39,74.028984
-200,33,78.183824
-150,35,78.696454
-150,33,79.097382
-250,40,79.627057
-300,47,83.909535
-200,25,84.193776
-150,25,84.556806
-300,28,84.87695
-100,39,89.248386
150,64,90.140621
-400,48,94.57889
-50,35,95.021546
100,39,95.556117
-300,30,95.958043
-250,32,100.246023
-200,33,100.65497
-250,41,101.26899
-200,25,101.592952
-100,26,106.017538
-50,40,106.562082
-300,35,106.997196
100,38,107.525783
50,42,112.506214
-200,54,113.242306
-100,24,113.578022
-50,49,117.874864
-150,20,118.127188
-150,51,118.805894
0,42,123.102108
-200,49,123.774545
-300,89,128.948293
-150,48,129.605457
-100,44,130.186318
-200,34,134.612936
-300,30,134.976471
-150,50,135.586024
-50,48,139.832456
-300,37,140.320152
-150,51,140.993227
-250,129,146.576928
0,43,150.940362
100,42,151.545223
-350,52,152.175853
-200,39,156.533826
-150,51,157.156577
-100,45,161.595734
-200,154,167.409804
-250,51,168.027417
-350,41,168.541284
-450,69,173.296131
-250,45,173.825479
-100,38,178.185716
-150,72,179.033287
-300,146,184.661657
0,57,189.219017
-350,65,189.995441
-350,30,194.194824
-250,58,194.894603
-150,91,199.826888
-350,142,205.320992
-250,52,205.926946
-50,201,216.125793
-100,238,226.775014
-250,113,232.082471
-200,348,243.415359
0,150,248.836748
0,584,274.157732
-150,484,294.50412
-450,294,305.249201
0,739,335.695643
0,102,340.548902
-200,171,346.383089
-250,110,351.42563
-150,66,352.090868
150,379,367.435738
100,192,377.089904
-150,860,412.545859
-200,313,423.599832
-250,110,428.511783
-200,68,429.222284
-350,427,448.834614
-350,70,449.559579
-200,1015,489.791737
-50,209,499.510083
-200,75,500.244427
-350,259,510.414028
0,1155,556.14701
50,375,571.438334
-150,86,576.192507
-100,85,580.838172
0,375,596.147118
-50,99,597.160834
0,688,627.45444
-200,298,638.084967
200,79,642.882791
-100,327,654.128817
50,154,659.630982
250,314,674.498002
-100,58,675.073395
-100,170,684.829641
0,60,685.467626
-200,511,706.36287
400,1155,753.418538
-50,124,758.552846
200,1078,804.177612
-150,189,809.760876
150,716,840.17576
-150,98,841.066967
-200,289,855.645589
-150,141,860.783839
-250,837,891.906297
-250,290,906.053763
0,286,916.279454
-200,286,926.528864
0,727,956.272056
-200,499,976.343119
0,246,986.38126
-250,1155,1031.966291
100,201,1037.780523
-50,1155,1083.546083
-100,243,1093.555927
-50,1155,1139.227908
150,1155,1185.000166
0,245,1195.259173
150,815,1226.469697
100,1155,1272.116394
100,1155,1317.15678
-100,1155,1362.360273
150,326,1376.808686
50,181,1382.467997
250,481,1402.277724
150,49,1406.523532
50,1155,1452.649019
200,53,1453.178494
100,430,1468.853182
150,163,1478.135697
150,327,1489.205496
100,42,1493.533712
200,1037,1535.131401
50,88,1536.024015
50,192,1545.990994
150,470,1562.077898
0,382,1577.321003
450,486,1597.467642
150,154,1602.933761
250,414,1622.440659
200,1121,1664.839767
250,149,1674.117378
200,411,1688.96848
300,388,1704.704548
150,63,1705.399024
150,298,1720.236849
200,165,1726.48505
250,114,1731.688158
